epoch,g_total,g_adv,g_recon,g_fm,g_tv,d_loss,val_l1,val_edge,val_ssim,val_score
61,6.343390,0.719281,5.301139,0.195339,0.119846,1.416652,0.189741,0.361526,0.134761,1.181514
62,6.334196,0.767883,5.240631,0.197487,0.117805,1.430261,0.173690,0.366324,0.209640,1.092264
63,6.681568,1.071480,5.281220,0.198576,0.124012,1.447337,0.176361,0.337271,0.150923,1.143483
64,6.596171,1.028183,5.242446,0.197025,0.120015,1.417511,0.172640,0.348864,0.145061,1.149682
65,6.497265,0.969223,5.203369,0.196347,0.120610,1.367204,0.170460,0.342912,0.153978,1.136501
66,6.287356,0.826090,5.141429,0.193557,0.118007,1.402455,0.172512,0.355235,0.157923,1.138921
67,6.266566,0.744703,5.203371,0.192396,0.119592,1.435719,0.172484,0.329541,0.115496,1.172328
68,6.189780,0.711972,5.162608,0.190477,0.117940,1.436800,0.176696,0.338741,0.078304,1.216951
69,6.110617,0.714701,5.086104,0.186992,0.117290,1.398659,0.167740,0.329756,0.125130,1.158024
70,6.276643,0.862067,5.095775,0.192803,0.118387,1.360566,0.176045,0.350983,0.137007,1.161882
71,6.103950,0.737887,5.057436,0.186057,0.118164,1.377992,0.188206,0.369654,0.079249,1.238335
72,6.151421,0.803548,5.038472,0.186374,0.119360,1.427776,0.178312,0.334110,0.150997,1.144253
73,6.165123,0.840887,5.016418,0.185274,0.119632,1.431932,0.177202,0.354390,0.133693,1.167546
74,6.429828,1.145016,4.972167,0.188404,0.120158,1.372031,0.177798,0.358014,0.156884,1.146218
75,6.149950,0.806819,5.037129,0.184236,0.118591,1.427999,0.174746,0.347776,0.157774,1.138693
76,6.029966,0.710529,5.016800,0.181764,0.119967,1.480647,0.178237,0.330641,0.136693,1.157268
77,5.949354,0.739922,4.911841,0.179137,0.115540,1.364760,0.178615,0.349733,0.100456,1.200565
78,6.000176,0.771764,4.927359,0.180810,0.119359,1.428514,0.180607,0.352320,0.095232,1.208687
79,5.859967,0.656712,4.905436,0.178890,0.117937,1.403455,0.177921,0.354298,0.149811,1.152114
