epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,g_localstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_localstats,val_ssim,val_score
32,8.429247,0.394027,5.065500,0.194072,0.110408,0.194828,9.874889,0.185024,0.082887,0.085415,1.797681,0.209340,0.346446,0.445730,0.212044,0.123147,0.104133,0.139374,1.422651
33,8.383807,0.359644,5.155865,0.190135,0.111302,0.197490,9.219487,0.188880,0.077730,0.088830,1.809523,0.214335,0.343713,0.434062,0.232357,0.130829,0.107887,0.142096,1.436817
34,8.503283,0.416478,5.086454,0.191729,0.111639,0.198620,10.034821,0.189304,0.080924,0.086413,1.813696,0.209367,0.335914,0.416952,0.214112,0.131812,0.103726,0.106466,1.452753
35,8.604828,0.353194,5.139698,0.201024,0.110551,0.195681,10.520513,0.195879,0.086169,0.089114,1.810631,0.208626,0.331936,0.402308,0.214253,0.134502,0.102527,0.131923,1.423604
36,8.521845,0.410806,5.129619,0.195576,0.111755,0.196928,9.817243,0.193125,0.080676,0.087712,1.843588,0.203271,0.327893,0.389871,0.203766,0.135513,0.099397,0.112262,1.428789
37,8.461604,0.411071,5.155797,0.190459,0.112601,0.196511,9.409266,0.188055,0.078676,0.088082,1.810597,0.192395,0.327775,0.383832,0.187077,0.143333,0.093328,0.157178,1.364443
38,8.469441,0.433375,5.153383,0.189292,0.115009,0.197772,9.433409,0.184469,0.070713,0.087311,1.834330,0.201086,0.326352,0.370470,0.217509,0.152159,0.099547,0.120524,1.427973
39,8.401165,0.381288,5.117871,0.183292,0.111919,0.194528,9.724402,0.184611,0.072065,0.087011,1.804180,0.205712,0.325103,0.361292,0.216103,0.149501,0.101625,0.163194,1.387208
40,8.379197,0.365011,5.133213,0.190691,0.113903,0.197703,9.338291,0.183998,0.078652,0.086968,1.802261,0.189336,0.323683,0.352490,0.188124,0.153064,0.091863,0.179851,1.335831
41,8.627067,0.409943,5.223084,0.192233,0.113728,0.197716,9.953385,0.196869,0.074398,0.090563,1.857382,0.202091,0.325006,0.343035,0.214080,0.151864,0.099511,0.119867,1.422238
42,8.536351,0.419847,5.210237,0.193275,0.114634,0.196615,9.468904,0.190883,0.069705,0.088788,1.806860,0.197412,0.324373,0.335930,0.203388,0.153473,0.096754,0.135780,1.394520
43,8.212111,0.351677,5.091405,0.187999,0.112960,0.194930,8.772380,0.180695,0.073844,0.084852,1.849529,0.200984,0.324377,0.328505,0.210847,0.157973,0.098957,0.140251,1.398730
44,8.458201,0.401779,5.233139,0.184105,0.114322,0.194913,9.089165,0.195513,0.068481,0.089422,1.803998,0.201220,0.324139,0.320829,0.211462,0.156906,0.099788,0.108010,1.429886
45,8.613557,0.448277,5.243400,0.193467,0.114892,0.196427,9.514117,0.191716,0.075599,0.089301,1.762552,0.202020,0.324264,0.314799,0.217629,0.157253,0.099657,0.125363,1.415007
46,8.712489,0.457375,5.180199,0.199524,0.114627,0.195984,10.510871,0.185697,0.072608,0.087562,1.730027,0.205075,0.325030,0.308034,0.220535,0.152226,0.102778,0.110520,1.432437
47,8.638357,0.419179,5.213787,0.198762,0.114411,0.195028,10.009428,0.194113,0.070360,0.088890,1.850167,0.192408,0.325437,0.300674,0.200130,0.149439,0.093881,0.174902,1.338651
48,8.663548,0.461909,5.242870,0.197490,0.115522,0.194811,9.764114,0.190522,0.070047,0.088758,1.751813,0.194698,0.326184,0.294841,0.206287,0.151559,0.097047,0.179978,1.340283
49,8.474524,0.399029,5.191784,0.199124,0.114332,0.194510,9.263983,0.189061,0.068572,0.088350,1.791244,0.188657,0.327125,0.288648,0.199891,0.157335,0.093706,0.104180,1.406836
50,8.370577,0.352453,5.167054,0.194397,0.115232,0.195000,9.155403,0.187387,0.069006,0.086626,1.792990,0.198763,0.324879,0.281405,0.209523,0.148976,0.098347,0.144603,1.377837
51,8.499972,0.405602,5.205342,0.196267,0.114095,0.194677,9.275710,0.195841,0.069740,0.089288,1.805084,0.207976,0.327294,0.277417,0.242490,0.151750,0.105592,0.131589,1.419721
52,8.525610,0.461460,5.211409,0.196538,0.117584,0.197423,9.116825,0.186503,0.065654,0.087079,1.781550,0.194723,0.328673,0.273152,0.218779,0.146954,0.098803,0.117503,1.403360
53,8.399920,0.361902,5.201353,0.191711,0.114171,0.193781,9.004370,0.197006,0.072330,0.088636,1.857027,0.199298,0.327652,0.266302,0.222328,0.146082,0.100058,0.128472,1.397327
54,8.551198,0.411299,5.213664,0.188506,0.115669,0.193819,9.725704,0.192570,0.070121,0.088314,1.786117,0.190675,0.328195,0.262015,0.217250,0.148840,0.096817,0.159260,1.354320
55,8.411922,0.416519,5.191758,0.192184,0.114887,0.194094,8.860060,0.191288,0.068738,0.087248,1.804139,0.201377,0.330305,0.256884,0.219078,0.149467,0.102279,0.135139,1.392562
56,8.551947,0.431329,5.215921,0.192711,0.115044,0.193836,9.571068,0.188778,0.065807,0.087766,1.748023,0.182165,0.328839,0.251694,0.186925,0.146498,0.090726,0.193736,1.291322
57,8.539709,0.454883,5.182719,0.193324,0.115403,0.193712,9.581144,0.184605,0.066770,0.086690,1.749234,0.179681,0.329510,0.249009,0.168513,0.138816,0.088603,0.213126,1.256108
58,8.678196,0.472995,5.209951,0.192526,0.115598,0.193737,10.124279,0.191450,0.069109,0.088481,1.793121,0.185662,0.329229,0.244031,0.194075,0.140076,0.093176,0.153235,1.335525
59,8.498450,0.424029,5.163229,0.194460,0.118178,0.196340,9.641035,0.178432,0.067007,0.085206,1.730665,0.182794,0.330318,0.240572,0.187337,0.144402,0.091215,0.133769,1.349441
60,8.574504,0.439987,5.203117,0.195704,0.118140,0.196143,9.674669,0.185384,0.067717,0.086667,1.765258,0.204120,0.330259,0.237638,0.232469,0.138770,0.105277,0.179788,1.349661
61,8.540862,0.441464,5.265690,0.194112,0.118419,0.196986,8.940974,0.191027,0.071870,0.089139,1.815676,0.190028,0.332047,0.233910,0.198709,0.134226,0.096406,0.140258,1.352524
62,8.565453,0.384479,5.260985,0.195350,0.118121,0.196599,9.512135,0.195495,0.064816,0.089185,1.781354,0.188542,0.330853,0.230968,0.205961,0.133244,0.095796,0.230301,1.262701
63,8.512140,0.424624,5.170787,0.194228,0.117571,0.195837,9.680420,0.180974,0.065201,0.085379,1.791658,0.190965,0.330821,0.226797,0.204775,0.136020,0.097770,0.215040,1.281346
64,8.474934,0.388841,5.169328,0.192022,0.116842,0.195006,9.662816,0.185184,0.068777,0.086631,1.775123,0.202191,0.331866,0.224440,0.223459,0.139869,0.104513,0.112919,1.408238
65,8.598894,0.439320,5.251342,0.196590,0.118470,0.196050,9.457329,0.188722,0.068209,0.088588,1.797317,0.191481,0.333911,0.221875,0.209816,0.130270,0.098474,0.154908,1.341574
66,8.423768,0.419241,5.144691,0.191036,0.117201,0.194407,9.367027,0.180324,0.068870,0.084981,1.746139,0.207158,0.332444,0.219370,0.244718,0.133412,0.107540,0.131527,1.402001
67,8.483515,0.430312,5.230448,0.196186,0.120247,0.196756,8.925124,0.186878,0.066300,0.087131,1.797080,0.190016,0.332386,0.216539,0.207262,0.132347,0.097787,0.108864,1.384248
68,8.432421,0.441064,5.145491,0.191488,0.117897,0.194821,9.290560,0.182355,0.062250,0.085237,1.715473,0.192221,0.331671,0.213900,0.203156,0.126254,0.097586,0.169983,1.319992
69,8.474843,0.390957,5.214636,0.197202,0.118935,0.195658,9.171690,0.190791,0.069184,0.087351,1.778970,0.181919,0.331239,0.211862,0.187918,0.128861,0.092694,0.172843,1.297978
70,8.463482,0.437076,5.160180,0.185818,0.117072,0.193751,9.554753,0.181536,0.063501,0.085213,1.822779,0.185708,0.331870,0.208928,0.206895,0.127097,0.095599,0.155263,1.328205
71,8.315811,0.399206,5.101910,0.186218,0.116113,0.192722,9.235081,0.176562,0.068392,0.083895,1.740463,0.187633,0.333722,0.208135,0.196803,0.117958,0.096260,0.171032,1.306209
72,8.469466,0.429081,5.211697,0.193410,0.120043,0.195399,9.102668,0.186113,0.060575,0.085835,1.717711,0.203546,0.333341,0.206643,0.237884,0.116953,0.105256,0.213796,1.301981
73,8.456139,0.461616,5.183835,0.191812,0.118666,0.195243,9.007789,0.184329,0.063448,0.086383,1.699562,0.204095,0.333886,0.204579,0.234982,0.119997,0.107266,0.099387,1.417783
74,8.380165,0.412273,5.116346,0.191835,0.118354,0.194863,9.345785,0.179701,0.063392,0.083665,1.713642,0.197974,0.333002,0.202684,0.224319,0.117234,0.102861,0.242594,1.259470
75,8.301181,0.421969,5.107776,0.194221,0.120566,0.197165,8.790293,0.173990,0.062877,0.082645,1.745713,0.187433,0.335351,0.201598,0.196558,0.113396,0.096833,0.182134,1.292012
76,8.260664,0.458783,5.056302,0.189905,0.118597,0.194712,8.780966,0.172605,0.060644,0.081593,1.695430,0.196469,0.334420,0.199509,0.228520,0.119664,0.102352,0.222257,1.280597
77,8.485693,0.474417,5.185441,0.194516,0.119319,0.194992,9.080774,0.183323,0.062479,0.085538,1.744614,0.175395,0.332901,0.197882,0.175121,0.118712,0.088266,0.211119,1.237888
78,8.441802,0.410751,5.173506,0.192510,0.119084,0.194865,9.415789,0.177948,0.058717,0.085346,1.697887,0.202607,0.336118,0.196806,0.231223,0.111962,0.105291,0.144762,1.363328
79,8.386936,0.399431,5.105028,0.190406,0.120542,0.196421,9.658986,0.173102,0.059044,0.082431,1.717931,0.188045,0.336094,0.196422,0.205172,0.111427,0.097307,0.176235,1.300858
80,8.279730,0.434120,5.104607,0.191747,0.118343,0.195020,8.679119,0.176193,0.058885,0.083293,1.667563,0.195877,0.338447,0.196342,0.213362,0.103651,0.101035,0.214449,1.273073
