epoch,g_total,g_adv,g_recon,d_loss,val_l1,val_edge,val_ssim,val_score
1,20.716457,0.354765,20.361694,1.528875,0.384904,0.991409,0.029944,1.701952
2,11.947281,0.664998,11.282283,1.263176,0.265723,0.644920,0.048282,1.443163
3,8.912665,0.538355,8.374310,1.442672,0.229702,0.484266,0.066556,1.332640
4,8.020535,0.832434,7.188101,1.178887,0.219343,0.393915,0.086686,1.270527
5,7.772485,1.265841,6.506645,0.834550,0.201561,0.355928,0.109219,1.216916
6,7.556202,1.408378,6.147823,0.801619,0.199959,0.351252,0.138139,1.184758
7,7.827435,1.623947,6.203487,0.787702,0.366597,0.441114,0.027863,1.493124
8,7.729751,1.682624,6.047127,0.580682,0.193090,0.327140,0.133679,1.173910
9,7.929707,2.135216,5.794491,0.417931,0.191515,0.321805,0.142158,1.161988
10,7.224052,1.439205,5.784847,1.084111,0.187473,0.320952,0.102884,1.196922
11,7.472008,1.442187,6.029820,1.159484,0.194215,0.324522,0.101629,1.206169
12,7.766874,1.783266,5.983607,0.494687,0.198438,0.326185,0.097595,1.215007
13,7.838774,1.602535,6.236238,1.138104,0.203430,0.326094,0.099730,1.217834
14,6.975671,0.983313,5.992358,1.403842,0.242800,0.325725,0.104931,1.251873
15,7.081132,1.099293,5.981839,1.350255,0.196138,0.319441,0.112726,1.195216
16,7.140101,1.108746,6.031356,1.302407,0.190423,0.319266,0.117165,1.185001
17,6.995033,1.110541,5.884491,1.201618,0.226446,0.322002,0.127010,1.212137
18,7.364217,1.315032,6.049185,0.969283,0.214063,0.321542,0.128972,1.197630
19,7.274620,1.411446,5.863173,1.021673,0.190274,0.323918,0.145876,1.157769
20,7.500054,1.556969,5.943086,0.770260,0.192199,0.322465,0.115730,1.189331
21,7.504540,1.670419,5.834121,0.813691,0.185718,0.323359,0.115789,1.183105
22,7.823647,1.918909,5.904738,0.565793,0.194730,0.327526,0.093633,1.215730
23,7.824575,2.004949,5.819626,0.637004,0.189994,0.323950,0.086527,1.216850
24,7.923387,2.119869,5.803518,0.620494,0.231803,0.371673,0.058811,1.303078
25,7.759468,1.793203,5.966266,0.991468,0.197412,0.323869,0.092109,1.218657
26,8.028907,2.195823,5.833084,0.597457,0.214373,0.326126,0.124192,1.204326
27,7.783419,1.890899,5.892519,0.693518,0.209861,0.327293,0.102803,1.221610
28,7.765761,1.850439,5.915323,0.799849,0.199848,0.320289,0.144940,1.167009
29,6.818262,0.974327,5.843935,1.389136,0.198407,0.330838,0.100305,1.213895
30,7.380389,1.317130,6.063259,1.163912,0.189468,0.326856,0.122815,1.181052
31,7.265289,1.382269,5.883020,1.070251,0.200567,0.337211,0.117180,1.201411
32,7.268695,1.419767,5.848928,1.032185,0.221972,0.341220,0.112780,1.228618
33,7.387359,1.379241,6.008118,1.297374,0.203101,0.332746,0.123274,1.196288
34,7.144949,1.149390,5.995559,1.131619,0.195654,0.333549,0.139063,1.173333
35,7.144985,1.203310,5.941675,1.142233,0.211021,0.338589,0.110099,1.219429
36,7.101382,1.173219,5.928164,1.109622,0.187914,0.340843,0.145172,1.162038
37,7.239767,1.323138,5.916629,1.054232,0.211523,0.347570,0.139160,1.194012
38,7.349859,1.581783,5.768076,0.700109,0.182821,0.345214,0.182035,1.121611
39,7.382421,1.444242,5.938178,0.949541,0.189777,0.332505,0.160289,1.145865
40,7.398895,1.552100,5.846796,0.986859,0.224135,0.338658,0.140437,1.202228
41,7.318931,1.419986,5.898945,1.071005,0.182109,0.335789,0.152589,1.147047
42,7.359439,1.406638,5.952800,0.934971,0.190281,0.351877,0.141572,1.171866
43,7.341539,1.491201,5.850338,1.118963,0.179154,0.336124,0.137064,1.159733
44,7.219522,1.378539,5.840982,0.896578,0.177996,0.332110,0.167743,1.126491
45,7.097666,1.192899,5.904766,1.050692,0.229610,0.351227,0.190552,1.161987
46,7.320254,1.399867,5.920387,1.072138,0.184682,0.341076,0.162271,1.141787
47,7.158952,1.205090,5.953862,1.091391,0.281227,0.428148,0.066043,1.365036
48,7.311896,1.554463,5.757433,1.038791,0.189136,0.332727,0.165102,1.140489
49,7.226250,1.286814,5.939436,1.065051,0.202910,0.396964,0.109945,1.231903
50,7.152085,1.262296,5.889790,1.195993,0.186236,0.348842,0.152498,1.155832
51,7.180436,1.099339,6.081097,1.377716,0.188371,0.356657,0.192097,1.121104
52,7.165482,1.303247,5.862235,1.114423,0.185116,0.358730,0.148932,1.161740
53,7.165174,1.258672,5.906503,1.201078,0.169369,0.325247,0.175051,1.108155
54,6.860235,0.939621,5.920614,1.543059,0.185211,0.377144,0.155323,1.161888
55,6.836848,0.814887,6.021961,1.461194,0.196748,0.361401,0.186826,1.136413
56,6.883641,0.965410,5.918232,1.314723,0.174706,0.343429,0.178279,1.116627
57,6.831161,0.816973,6.014187,1.450514,0.175673,0.344993,0.188487,1.107934
58,6.814958,0.888560,5.926397,1.339574,0.180649,0.369902,0.188835,1.121280
59,6.882589,0.894169,5.988420,1.359572,0.189456,0.365009,0.202985,1.114224
60,6.910525,0.902023,6.008502,1.409293,0.170843,0.346826,0.225185,1.067047
61,6.837650,0.908129,5.929522,1.350244,0.173625,0.347032,0.180510,1.114575
62,6.783354,0.827513,5.955840,1.357949,0.205528,0.367412,0.199798,1.134323
63,6.822186,0.990182,5.832004,1.361100,0.201558,0.348482,0.205790,1.117737
64,7.043112,1.201553,5.841558,1.135193,0.185805,0.365422,0.179341,1.134361
65,6.987217,1.104464,5.882752,1.239047,0.198155,0.354663,0.209603,1.112684
66,7.057086,1.165047,5.892038,1.228916,0.169862,0.352084,0.218429,1.074662
67,7.117908,1.284273,5.833635,1.203770,0.192881,0.349911,0.178060,1.137290
68,6.947015,1.090463,5.856552,1.252922,0.177720,0.357164,0.176069,1.126658
69,6.950151,1.099067,5.851085,1.321862,0.185772,0.361674,0.186518,1.125841
70,6.859470,0.945954,5.913516,1.367690,0.168175,0.361237,0.196374,1.098233
71,6.861526,1.027050,5.834476,1.231423,0.194526,0.368008,0.161588,1.161740
72,6.948487,1.044973,5.903514,1.261413,0.188970,0.341590,0.195676,1.112850
73,6.731314,0.995735,5.735579,1.242091,0.220770,0.385672,0.185983,1.169773
74,7.052366,1.293908,5.758458,1.134552,0.177105,0.365674,0.172956,1.132136
75,6.960917,1.113755,5.847162,1.201161,0.194608,0.367888,0.165757,1.157612
76,6.953461,1.241474,5.711987,1.145444,0.199382,0.403014,0.182419,1.158018
77,6.926951,1.113023,5.813928,1.242561,0.172296,0.353912,0.182050,1.114115
78,6.937918,1.150851,5.787066,1.249476,0.182742,0.365165,0.154673,1.155877
79,6.862479,0.982044,5.880436,1.411636,0.196951,0.349852,0.125669,1.193731
80,6.851530,1.156931,5.694599,1.157853,0.171284,0.340841,0.217020,1.073558
81,7.039236,1.205854,5.833382,1.247511,0.182306,0.339422,0.205523,1.095580
82,6.858367,1.184521,5.673846,1.211238,0.183659,0.371662,0.182057,1.131683
83,6.850730,1.077729,5.773001,1.236297,0.195591,0.380437,0.160129,1.168615
84,6.870436,1.126478,5.743958,1.242625,0.178762,0.353438,0.190481,1.111984
85,6.864695,1.138432,5.726262,1.157618,0.179739,0.364748,0.154930,1.152471
86,6.801315,1.131470,5.669845,1.180750,0.192892,0.388458,0.161162,1.167690
87,6.932180,1.178278,5.753901,1.230079,0.181758,0.339961,0.168792,1.131952
88,6.732019,0.948981,5.783038,1.251398,0.193044,0.385044,0.167196,1.160613
89,6.748598,1.119894,5.628704,1.144026,0.188309,0.366069,0.159967,1.156466
90,6.787794,1.162348,5.625446,1.129023,0.176046,0.368658,0.196595,1.108482
91,6.846753,1.175836,5.670917,1.048386,0.184787,0.365758,0.166449,1.146354
92,6.745759,1.099460,5.646299,1.135895,0.187380,0.350010,0.181944,1.127939
93,6.825470,1.249769,5.575702,1.065023,0.188042,0.363757,0.127300,1.188057
94,6.693106,1.122846,5.570260,1.141876,0.182241,0.369449,0.167522,1.144026
95,6.737458,1.091468,5.645990,1.224539,0.188975,0.362526,0.180896,1.134963
96,6.630747,1.027006,5.603741,1.192313,0.175375,0.347389,0.160888,1.136073
97,6.508641,0.968548,5.540093,1.118870,0.173818,0.341272,0.187546,1.105717
