,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,20.0,0.40538926445003737,0.35864119724671645,0.8345864661654135,0.8646616541353384,0.9016479167844423,0.9360018091361375,0.8636363636363636
mean,14.0,0.45995057533375566,0.40311143711412634,0.7855750487329436,0.8532442216652742,0.8598108680221858,0.9190411578471279,0.8546576879910213
median,14.0,0.4449733262671564,0.3773254004860283,0.8045112781954887,0.8571428571428571,0.8783566058002148,0.9289914066033469,0.8636363636363636
