epoch,g_total,g_adv,g_recon,d_loss,val_l1,val_edge,val_ssim,val_score
76,7.137641,1.334348,5.803294,0.931179,0.179156,0.349042,0.203263,1.098058
77,7.361950,1.477746,5.884204,0.846493,0.182388,0.370065,0.179459,1.132452
78,7.242591,1.464628,5.777964,0.740592,0.179106,0.357221,0.172258,1.131875
79,7.249964,1.421918,5.828045,0.829307,0.178976,0.354482,0.182098,1.120946
80,7.238441,1.428573,5.809867,0.848801,0.180676,0.342491,0.202981,1.097567
81,7.233771,1.364707,5.869065,0.776549,0.177287,0.356331,0.204167,1.097835
82,7.121019,1.331867,5.789152,0.831656,0.181243,0.356308,0.195774,1.110177
83,7.162193,1.367460,5.794734,0.759707,0.179274,0.350214,0.190457,1.111392
84,7.233438,1.498382,5.735055,0.757105,0.177996,0.355129,0.185020,1.117270
85,7.171400,1.415751,5.755648,0.777765,0.181085,0.366450,0.196049,1.113294
86,7.173544,1.450708,5.722836,0.662353,0.199240,0.373743,0.145850,1.184199
87,7.341002,1.483089,5.857912,0.716445,0.188768,0.351354,0.186904,1.124838
88,7.179246,1.349458,5.829788,0.699111,0.192714,0.343631,0.219460,1.093526
89,7.019265,1.338919,5.680346,0.610578,0.184125,0.352497,0.166584,1.140915
90,7.106304,1.337723,5.768580,0.760833,0.180555,0.359554,0.195060,1.111339
91,7.216405,1.431542,5.784863,0.632168,0.191349,0.390741,0.173967,1.154142
92,7.047212,1.355447,5.691764,0.608494,0.182387,0.361071,0.185791,1.122971
93,7.077700,1.329482,5.748218,0.655325,0.184253,0.360995,0.155204,1.155397
94,7.067390,1.386373,5.681018,0.552352,0.179778,0.363313,0.197707,1.109231
95,6.979724,1.247963,5.731761,0.695665,0.193872,0.363265,0.157387,1.163627
96,7.014336,1.392019,5.622316,0.548883,0.172281,0.349154,0.192927,1.101558
97,7.068004,1.359243,5.708761,0.646237,0.184905,0.345319,0.152915,1.152851
98,6.948898,1.375269,5.573629,0.573709,0.170073,0.344141,0.195537,1.094986
99,7.014314,1.280926,5.733389,0.721278,0.174934,0.345992,0.210462,1.085569
