epoch,g_total,g_adv,g_recon,d_loss,val_l1
118,5.499468,1.564773,3.934695,1.009115,0.161877
119,5.438419,1.506269,3.932150,1.185756,0.161336
120,5.387514,1.497126,3.890388,1.108903,0.160471
121,5.086722,1.191418,3.895305,1.147788,0.160337
122,5.631570,1.760803,3.870767,0.885445,0.160723
123,5.359362,1.445265,3.914096,1.032683,0.161287
124,5.610601,1.700897,3.909704,0.995553,0.159001
125,5.276366,1.408333,3.868033,1.108654,0.162546
126,5.339218,1.449449,3.889769,1.126534,0.162342
127,5.527275,1.617076,3.910199,0.928261,0.163918
128,5.424623,1.586274,3.838349,1.001250,0.161915
129,5.376424,1.504514,3.871910,1.138135,0.160240
130,5.261836,1.355873,3.905963,1.065876,0.160037
131,5.256649,1.391980,3.864669,1.114716,0.162675
132,5.206227,1.341589,3.864638,1.198535,0.162253
133,5.230586,1.368587,3.861999,1.104605,0.162990
134,4.850646,0.962646,3.888000,1.370659,0.161987
135,5.324053,1.444668,3.879385,1.157767,0.160906
136,5.422345,1.560357,3.861988,0.919989,0.159204
137,5.362843,1.518408,3.844435,0.989375,0.157772
138,5.085166,1.238310,3.846856,1.148589,0.162362
139,5.182734,1.329516,3.853217,1.099277,0.161534
140,5.075119,1.216640,3.858479,1.192749,0.162597
141,4.956264,1.117687,3.838578,1.158069,0.162397
142,4.964377,1.117244,3.847133,1.252779,0.160213
143,5.489550,1.651285,3.838265,0.943813,0.160437
144,5.129144,1.296050,3.833093,1.075213,0.160112
145,5.074266,1.240257,3.834009,1.088883,0.158367
146,5.224987,1.384865,3.840122,1.043953,0.159696
147,4.928329,1.091627,3.836701,1.345304,0.160410
148,4.772984,0.955193,3.817790,1.210479,0.161005
149,4.937010,1.102359,3.834651,1.185269,0.161497
150,4.949887,1.124361,3.825526,1.224567,0.160059
151,4.885482,1.062859,3.822623,1.111873,0.161775
152,4.974182,1.113822,3.860360,1.155504,0.159849
153,4.747829,0.920705,3.827124,1.240084,0.162518
154,4.655939,0.847930,3.808009,1.205952,0.159875
155,4.816688,0.964526,3.852161,1.296168,0.161429
156,4.689041,0.879541,3.809500,1.274884,0.160656
157,4.688077,0.876161,3.811916,1.228868,0.160091
158,4.711731,0.881241,3.830490,1.233018,0.160531
159,4.644315,0.839416,3.804899,1.267078,0.158779
160,4.605110,0.772988,3.832122,1.288093,0.159632
161,4.424508,0.611543,3.812965,1.313818,0.159912
162,4.725250,0.866843,3.858407,1.255156,0.161754
163,4.564965,0.748451,3.816514,1.311878,0.161252
164,4.523226,0.681761,3.841465,1.308185,0.160843
165,4.518698,0.709490,3.809207,1.276610,0.160452
166,4.490391,0.662369,3.828022,1.312865,0.158767
167,4.419231,0.588887,3.830344,1.336727,0.159887
168,4.301921,0.484623,3.817298,1.395021,0.160341
169,4.332555,0.498993,3.833561,1.384101,0.160164
170,4.351138,0.518407,3.832731,1.369754,0.160105
171,4.318017,0.485695,3.832322,1.413271,0.160673
172,4.313769,0.482817,3.830952,1.394442,0.161104
