epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
1,0.687587376823999,1.9570041868023407,0.5375939849624061,0.6165413533834586,0.603505052646456,0.5881953867028493,0.4626865671641791
2,0.6764208643059981,0.6844576906440849,0.5977443609022557,0.631578947368421,0.700247332344004,0.6465400271370421,0.6865671641791045
3,0.6685438501207452,0.6618631889945582,0.599624060150376,0.6992481203007519,0.7365415871669847,0.7473993668023518,0.8805970149253731
4,0.6513355136813974,0.6481025635747981,0.6879699248120301,0.7518796992481203,0.8005229312416084,0.7960199004975124,0.9402985074626866
5,0.6384689964746174,0.6518188271307408,0.7199248120300752,0.7443609022556391,0.8318846724613101,0.7919493441881501,0.7014925373134329
6,0.6320607890760092,0.6342302448767468,0.7236842105263158,0.7669172932330827,0.8291004169316656,0.8071008593396652,0.8507462686567164
7,0.6262156757196986,0.6298888693178507,0.7255639097744361,0.7819548872180451,0.8322662709349163,0.8109452736318409,0.9104477611940298
8,0.6191227489844301,0.619941600731441,0.7462406015037594,0.7894736842105263,0.8315737403717052,0.823835368611488,0.8059701492537313
9,0.6068958165054035,0.619762525074464,0.7800751879699248,0.7969924812030075,0.8525333898664406,0.8211216644052466,0.8955223880597015
10,0.5978097463012638,0.6049156162075531,0.7669172932330827,0.7969924812030075,0.8533389866440535,0.8236092265943012,0.8656716417910447
11,0.5984414322931964,0.589861255839355,0.7518796992481203,0.7969924812030075,0.8385414458342165,0.8453188602442334,0.9253731343283582
12,0.5854678904651699,0.6029488265066218,0.7650375939849624,0.8045112781954887,0.8605186912585683,0.8290366350067843,0.9253731343283582
13,0.578242275947915,0.5719418561548218,0.7669172932330827,0.7969924812030075,0.8562363083880997,0.8487109905020352,0.8208955223880597
14,0.5640613396364943,0.5726845546772605,0.8026315789473685,0.7894736842105263,0.8767154264716275,0.8319764812302126,0.8805970149253731
15,0.5637302102899193,0.5755691685174641,0.7744360902255639,0.7969924812030075,0.8597696275881563,0.8355947535052013,0.9104477611940298
16,0.5550272500604615,0.5688597380666804,0.7800751879699248,0.8120300751879699,0.8734789060843756,0.8387607417458164,0.8805970149253731
17,0.5430300226785186,0.5462623579161507,0.793233082706767,0.8045112781954887,0.8850540597837608,0.8530076888285844,0.9253731343283582
18,0.5470570836748395,0.56475887128285,0.7951127819548872,0.7894736842105263,0.8663557345770617,0.840343735866124,0.835820895522388
19,0.5334928385297159,0.588372026171003,0.7969924812030075,0.7894736842105263,0.8818034061197089,0.8405698778833107,0.8656716417910447
20,0.5250012964234316,0.6007559610936875,0.7951127819548872,0.7894736842105263,0.8849268602925588,0.8421528720036182,0.7910447761194029
21,0.5255032239999986,0.5524718131786003,0.7913533834586466,0.7969924812030075,0.8806303441452901,0.8439620081411126,0.8805970149253731
22,0.5326579535814157,0.5569275355428681,0.7951127819548872,0.7969924812030075,0.8673733305066778,0.8421528720036183,0.8955223880597015
23,0.5260082055303387,0.5560475041095475,0.7875939849624061,0.7894736842105263,0.8720514451275528,0.8428312980551786,0.8059701492537313
24,0.513250908457247,0.554092413276658,0.8120300751879699,0.7894736842105263,0.8857889901773727,0.8441881501582994,0.7910447761194029
