,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,17.0,0.5430300226785186,0.5462623579161507,0.793233082706767,0.8045112781954887,0.8850540597837608,0.8530076888285844,0.9253731343283582
mean,12.5,0.5873097212317594,0.6547307998203394,0.7455357142857143,0.7716165413533834,0.8358649565401738,0.8098051409618575,0.8389303482587064
median,12.5,0.5818550832065424,0.5953086084665212,0.7706766917293233,0.7894736842105263,0.858002967988128,0.833785617367707,0.8731343283582089
