,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,26.0,0.57316056364461,0.5414037829951236,0.7518796992481203,0.8045112781954887,0.8386567923568318,0.8957485300768883,0.803030303030303
mean,17.0,0.605845326170288,0.5873295134877691,0.7276144907723855,0.7887901572112098,0.8096732775205272,0.8717432123130902,0.8025711662075299
median,17.0,0.597738238205587,0.5746124682569862,0.7481203007518797,0.7969924812030075,0.8288201707275707,0.8855721393034826,0.803030303030303
