,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,1.0,0.7063591104325417,0.6141885405729625,0.553941908713693,0.7520661157024794,0.5701867853262277,0.8278598795840176,0.9310344827586207
mean,5.0,0.5496405816094675,0.6090540785352717,0.7531120331950207,0.7520661157024793,0.79997853703033,0.8062093291978348,0.7413793103448276
median,5.0,0.5279171597289841,0.6128013578574519,0.7800829875518672,0.7520661157024794,0.8389989824252773,0.8045977011494252,0.7413793103448276
