epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
1,0.6962610537467783,0.6206231524546941,0.6024844720496895,0.7666666666666667,0.6242355528069814,0.8417686318131257,0.7758620689655172
2,0.6448535762465025,0.5047036627928416,0.6915113871635611,0.8416666666666667,0.7426990998419569,0.89265850945495,0.8620689655172413
3,0.6164289498798102,0.45755945692459743,0.6853002070393375,0.8916666666666667,0.7405689548546691,0.9132369299221357,0.9137931034482759
4,0.6030676986860193,0.46707875380913416,0.7122153209109731,0.8333333333333334,0.7581254724111867,0.9015572858731924,0.9137931034482759
5,0.5589402366128767,0.44985618280867734,0.7453416149068323,0.8416666666666667,0.7921562564419707,0.9126807563959956,0.8793103448275862
6,0.5159109774089995,0.43501570808390777,0.7805383022774327,0.875,0.8379371950800522,0.9299221357063404,0.9655172413793104
7,0.5137898023577704,0.42610221033295,0.7991718426501035,0.8166666666666667,0.8509757438328868,0.8946051167964404,0.7931034482758621
8,0.5699210247452955,0.4519826843092839,0.7619047619047619,0.8666666666666667,0.8138012780869923,0.9098998887652948,0.8620689655172413
9,0.5138418570808743,0.4271178180972735,0.8219461697722568,0.8583333333333333,0.8639971139971141,0.9149054505005562,0.9137931034482759
10,0.43134177416007713,0.4539884182314078,0.8302277432712215,0.8666666666666667,0.9022881880024738,0.9082313681868743,0.8275862068965517
11,0.42456447072404263,0.45252968966960905,0.84472049689441,0.8666666666666667,0.8785989143132001,0.9062847608453838,0.9310344827586207
12,0.47001803004593584,0.4417028707762559,0.8364389233954451,0.875,0.8957775029203601,0.9126807563959956,0.8620689655172413
13,0.41350540275035685,0.4763576856503884,0.8322981366459627,0.8666666666666667,0.9006046863189721,0.9073971078976641,0.8793103448275862
14,0.4060527197013977,0.5368302628087501,0.8322981366459627,0.8583333333333333,0.8975640761355047,0.9021134593993326,0.896551724137931
