epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
36,8.253138,0.363389,5.156431,0.171192,0.114334,0.198227,9.178253,0.196948,0.073419,1.829198,0.194501,0.345117,0.202563,0.211603,0.064143,0.136582,1.305684
37,8.350065,0.437674,5.122741,0.173653,0.117392,0.201819,9.577779,0.183748,0.072410,1.750013,0.198385,0.332650,0.203213,0.227234,0.089813,0.166071,1.299911
38,8.403541,0.430803,5.149121,0.176850,0.120547,0.206242,9.652027,0.186983,0.070742,1.763294,0.196901,0.328538,0.195528,0.230674,0.098066,0.091812,1.376515
39,8.413027,0.353900,5.183275,0.174050,0.118573,0.202631,10.094075,0.190799,0.068832,1.795231,0.208427,0.333085,0.202749,0.247494,0.083920,0.184945,1.297945
40,8.470810,0.417800,5.232403,0.175046,0.117736,0.202146,9.692152,0.193045,0.068918,1.810688,0.208095,0.340679,0.196624,0.223236,0.066038,0.176257,1.284356
41,8.588182,0.404555,5.180521,0.174250,0.116722,0.200204,10.982553,0.186808,0.072875,1.790698,0.194336,0.341048,0.201327,0.219705,0.076475,0.096712,1.355218
42,8.265582,0.417489,5.145889,0.173389,0.119079,0.202438,9.043878,0.181520,0.068254,1.756357,0.207548,0.339808,0.205810,0.251352,0.080986,0.101830,1.382379
43,8.577663,0.397512,5.234385,0.171608,0.119962,0.204055,10.569258,0.190698,0.071036,1.809602,0.193367,0.342399,0.200891,0.215025,0.071769,0.187252,1.258928
44,8.516674,0.366397,5.259927,0.179829,0.119124,0.200896,10.091756,0.193827,0.066680,1.770563,0.194054,0.359384,0.202656,0.203670,0.065486,0.187161,1.254019
45,8.534698,0.487175,5.231890,0.184026,0.122550,0.205444,9.473803,0.185704,0.071463,1.739032,0.204214,0.330247,0.197673,0.236655,0.092794,0.155728,1.320783
46,8.580868,0.411029,5.227175,0.184781,0.119806,0.202121,10.297338,0.192368,0.071433,1.812837,0.216637,0.345962,0.203703,0.263028,0.076759,0.170123,1.327333
47,8.441469,0.415615,5.182522,0.180534,0.122470,0.204081,9.819027,0.182829,0.066206,1.743245,0.205799,0.378796,0.216486,0.221550,0.075696,0.105003,1.369013
48,8.564238,0.412958,5.272049,0.183028,0.120548,0.201742,9.902504,0.197608,0.066934,1.804061,0.186735,0.339592,0.197017,0.211308,0.078437,0.182627,1.257373
49,8.365202,0.434574,5.200859,0.183262,0.120537,0.202117,8.967273,0.188123,0.069020,1.745537,0.212800,0.343051,0.197097,0.249290,0.065118,0.190936,1.287435
50,8.583221,0.403146,5.246858,0.185361,0.120577,0.203359,10.187088,0.194760,0.070608,1.807141,0.236025,0.366503,0.206538,0.271012,0.071138,0.142635,1.379430
51,8.544420,0.411612,5.217938,0.184495,0.120234,0.200212,10.230067,0.186703,0.067812,1.790898,0.200714,0.364659,0.204179,0.207210,0.068696,0.164249,1.288411
52,8.506440,0.418014,5.230374,0.187079,0.121254,0.201892,9.759645,0.189032,0.066705,1.719791,0.201285,0.340919,0.202227,0.235314,0.080425,0.160250,1.308781
53,8.480671,0.453759,5.205750,0.184131,0.120605,0.201167,9.513885,0.193385,0.070439,1.768062,0.186051,0.340789,0.200454,0.210353,0.085952,0.174672,1.269272
54,8.440989,0.379080,5.196258,0.182073,0.121358,0.202657,9.964684,0.182786,0.065676,1.759622,0.231946,0.384248,0.216562,0.270897,0.074279,0.151012,1.374044
55,8.318596,0.392084,5.201937,0.174320,0.120706,0.201053,9.153650,0.188349,0.065609,1.803727,0.217584,0.362087,0.204345,0.241044,0.067336,0.172298,1.312975
56,8.263912,0.356176,5.208153,0.177666,0.120220,0.200087,8.890619,0.190964,0.068189,1.790209,0.189592,0.354727,0.200633,0.203800,0.069585,0.200298,1.237456
57,8.443487,0.428777,5.217941,0.176343,0.119109,0.198939,9.645937,0.186581,0.065508,1.760585,0.190258,0.356943,0.202653,0.206432,0.071568,0.139322,1.302347
58,8.455338,0.453860,5.184421,0.179663,0.123382,0.201985,9.770182,0.176470,0.064180,1.708880,0.211928,0.363004,0.205819,0.246336,0.071765,0.156758,1.328430
59,8.315503,0.416574,5.220104,0.179956,0.121957,0.202306,8.623287,0.192646,0.072138,1.772853,0.212508,0.348052,0.200113,0.242130,0.067470,0.182939,1.294417
60,8.532099,0.431173,5.304093,0.178454,0.122753,0.201714,9.468768,0.197619,0.063911,1.761101,0.201580,0.367701,0.206985,0.224664,0.072321,0.121195,1.344217
61,8.498095,0.469313,5.230873,0.182482,0.121535,0.201117,9.448217,0.189216,0.068335,1.751398,0.189923,0.359874,0.200626,0.191919,0.060189,0.179047,1.248855
62,8.427706,0.429049,5.231528,0.186079,0.124319,0.203373,9.200306,0.184710,0.065354,1.725352,0.191106,0.355499,0.202605,0.201421,0.064828,0.223300,1.212734
63,8.270685,0.422814,5.132598,0.181345,0.122215,0.202708,9.028795,0.176163,0.066771,1.726908,0.192142,0.332712,0.194846,0.226081,0.086047,0.163560,1.291703
64,8.419737,0.406415,5.236452,0.180796,0.122600,0.201956,9.361229,0.185037,0.069061,1.770199,0.184178,0.330724,0.189154,0.208774,0.095117,0.252802,1.189222
65,8.453054,0.486680,5.233142,0.183976,0.121813,0.200618,9.079298,0.183876,0.064038,1.719439,0.198951,0.360218,0.203774,0.215303,0.067922,0.160159,1.293470
66,8.332736,0.480763,5.141186,0.181643,0.121860,0.199586,9.044183,0.179483,0.062745,1.669814,0.220316,0.389704,0.215174,0.230927,0.096410,0.183108,1.323182
67,8.416166,0.429258,5.258109,0.183860,0.122781,0.201261,8.926403,0.192205,0.068716,1.736061,0.219405,0.359035,0.199773,0.263784,0.067942,0.111116,1.386126
68,8.298366,0.423691,5.189960,0.177868,0.121153,0.198501,8.946050,0.181649,0.062382,1.700384,0.194113,0.354960,0.202038,0.216905,0.063010,0.176321,1.269241
69,8.551668,0.435769,5.242983,0.182574,0.122649,0.201406,9.891860,0.192179,0.071092,1.718006,0.213492,0.362498,0.212090,0.234730,0.070174,0.143154,1.338208
70,8.544238,0.487902,5.273949,0.184914,0.124659,0.202842,9.326076,0.187383,0.063197,1.719655,0.198018,0.349955,0.197554,0.216632,0.078027,0.185845,1.269858
71,8.460713,0.474185,5.198815,0.184157,0.122634,0.200540,9.401507,0.184708,0.067876,1.682024,0.199925,0.345486,0.201076,0.221705,0.068641,0.183594,1.271360
72,8.290827,0.448191,5.133751,0.185926,0.123725,0.202639,8.914504,0.177069,0.063324,1.721524,0.213552,0.344157,0.195261,0.240927,0.077911,0.160145,1.321627
73,8.299568,0.432025,5.119928,0.180732,0.123144,0.200707,9.319298,0.176218,0.062857,1.689402,0.197850,0.358030,0.203413,0.212836,0.068712,0.200252,1.251004
74,8.425064,0.480849,5.167398,0.183602,0.123751,0.201126,9.488070,0.175005,0.059481,1.676299,0.185490,0.352899,0.200738,0.197252,0.068710,0.150720,1.278871
75,8.453295,0.431441,5.224500,0.183160,0.123647,0.201439,9.568371,0.180542,0.060579,1.706214,0.208879,0.338322,0.191341,0.241957,0.078077,0.172063,1.303730
76,8.421228,0.457253,5.140943,0.184232,0.123565,0.201451,9.730806,0.172878,0.067916,1.668831,0.226492,0.358044,0.206801,0.269236,0.060951,0.140247,1.364330
77,8.453886,0.446026,5.204852,0.185583,0.123943,0.201241,9.541201,0.181036,0.062442,1.685829,0.216082,0.345143,0.196487,0.241442,0.072754,0.133076,1.349095
78,8.311885,0.424907,5.160058,0.183106,0.125676,0.202972,9.140335,0.172910,0.061312,1.659789,0.218097,0.371502,0.212688,0.254056,0.068266,0.160629,1.335704
79,8.359503,0.430521,5.174948,0.184217,0.123504,0.201666,9.188043,0.182963,0.066104,1.748560,0.189881,0.337856,0.195778,0.228992,0.088989,0.127309,1.329897
80,8.321206,0.441161,5.142550,0.181675,0.121593,0.198901,9.215010,0.179733,0.064652,1.672861,0.205701,0.369199,0.208080,0.209094,0.065707,0.163693,1.294927
81,8.397430,0.475920,5.156370,0.187334,0.124626,0.201504,9.328344,0.173302,0.061596,1.643608,0.215165,0.386705,0.209458,0.244800,0.089201,0.152228,1.350085
82,8.198372,0.420665,5.118121,0.187221,0.122401,0.200553,8.591850,0.177680,0.062831,1.642387,0.198264,0.362168,0.205732,0.222509,0.063474,0.200755,1.254125
83,8.350990,0.429532,5.138630,0.183925,0.123282,0.199763,9.539547,0.173350,0.061916,1.681908,0.202293,0.368084,0.209570,0.230985,0.070807,0.117802,1.351288
84,8.276388,0.461730,5.087175,0.184414,0.124147,0.200769,9.166130,0.170891,0.062086,1.635857,0.207357,0.353797,0.200813,0.238070,0.067762,0.149123,1.322400
85,8.311769,0.400904,5.137126,0.188223,0.124355,0.200406,9.425175,0.170781,0.059579,1.627160,0.183803,0.343479,0.197830,0.200870,0.078958,0.148472,1.284541
86,8.399748,0.419660,5.100523,0.186831,0.125353,0.201642,10.182277,0.166345,0.059288,1.654268,0.211027,0.364921,0.199274,0.238330,0.080001,0.198794,1.284925
87,8.264196,0.432843,5.074086,0.185012,0.123536,0.199674,9.411741,0.167839,0.060475,1.626055,0.201230,0.347643,0.201603,0.228390,0.074083,0.179241,1.283858
88,8.244371,0.378318,5.043809,0.184553,0.124438,0.200635,9.869188,0.163504,0.061703,1.633934,0.212143,0.362618,0.202775,0.245613,0.064484,0.165831,1.314467
89,8.134579,0.435418,5.009768,0.182300,0.123572,0.200129,9.137802,0.155287,0.058670,1.613882,0.229996,0.353083,0.203721,0.271089,0.066015,0.153766,1.356456
90,8.120309,0.435946,4.997386,0.182219,0.126115,0.201837,9.167892,0.148272,0.057803,1.612349,0.200394,0.348028,0.198140,0.220388,0.074750,0.171743,1.286194
91,8.296448,0.438311,4.996784,0.186201,0.124145,0.200530,10.201958,0.154934,0.058792,1.578649,0.201514,0.372999,0.207158,0.211852,0.065955,0.178736,1.277695
92,8.104125,0.444856,4.950401,0.181354,0.123206,0.199277,9.342962,0.150913,0.058434,1.599648,0.200369,0.358774,0.205229,0.212420,0.064803,0.210841,1.241110
93,8.199512,0.445389,4.966870,0.182707,0.124174,0.199702,9.892012,0.146479,0.056040,1.565385,0.194630,0.366530,0.202976,0.205773,0.069141,0.212189,1.233985
94,8.133638,0.423714,4.915235,0.183132,0.126038,0.201387,9.964121,0.137617,0.059087,1.587261,0.200459,0.355622,0.201137,0.231043,0.068453,0.153378,1.308514
95,8.196982,0.425254,4.859567,0.181479,0.124254,0.200160,10.849704,0.133902,0.057246,1.566024,0.176303,0.370431,0.211186,0.177160,0.067937,0.225583,1.189803
96,8.091456,0.380442,4.868210,0.182067,0.125536,0.201023,10.366179,0.134615,0.055826,1.605079,0.186917,0.353907,0.199761,0.205574,0.071878,0.168567,1.268320
97,8.111279,0.403785,4.833469,0.179858,0.124934,0.200296,10.707970,0.129950,0.051555,1.555076,0.191675,0.355449,0.197937,0.212944,0.071803,0.198935,1.246230
98,8.026787,0.393982,4.797911,0.179728,0.125750,0.201489,10.496050,0.121266,0.053486,1.546749,0.203917,0.365534,0.204255,0.226996,0.074814,0.156136,1.313158
99,7.948726,0.379712,4.808627,0.179047,0.124915,0.199954,10.024356,0.124069,0.051883,1.593434,0.200262,0.365800,0.203318,0.224874,0.077187,0.195618,1.270108
100,7.960004,0.427938,4.685435,0.175747,0.124604,0.199492,10.807950,0.108685,0.052934,1.522121,0.205765,0.371644,0.206389,0.236186,0.071958,0.131084,1.344652
101,7.885134,0.401964,4.722065,0.179365,0.124140,0.199387,10.096106,0.116098,0.053168,1.542866,0.193926,0.364004,0.201590,0.212328,0.063340,0.192349,1.252449
102,7.914567,0.405576,4.725607,0.178030,0.124940,0.199619,10.299524,0.115015,0.050425,1.559863,0.177510,0.355917,0.199837,0.180728,0.068951,0.232199,1.181628
103,7.865954,0.423129,4.682685,0.176629,0.124048,0.199192,10.244186,0.109569,0.048706,1.507496,0.197982,0.360344,0.203360,0.219339,0.069189,0.198503,1.256803
