,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,38.0,0.576641959803445,0.5895298168175203,0.7725563909774437,0.8045112781954887,0.8590205639177443,0.8557213930348259,0.8656716417910447
mean,23.0,0.6124298544555479,0.6226991059387735,0.7353801169590642,0.7520467836257311,0.8099920696613511,0.8044725865621389,0.7741293532338307
median,23.0,0.597254564887599,0.612347087913886,0.7575187969924813,0.7819548872180451,0.8440110239559042,0.8419267299864315,0.8208955223880597
