epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,val_precision,val_recall,val_f1,best_thr
1,0.6198050857084916,0.4563878666270863,0.6991701244813278,0.8429752066115702,0.7663458719235613,0.900519978106185,0.9148936170212766,0.7413793103448276,0.819047619047619,0.671875
2,0.4994982760476868,0.40719582817771216,0.8215767634854771,0.8512396694214877,0.8751228850830444,0.9198139025725233,0.9545454545454546,0.7241379310344828,0.8235294117647058,0.7861328125
3,0.4644572522135691,0.3854310551950754,0.8236514522821576,0.859504132231405,0.8899294596505751,0.9180350301039957,0.8596491228070176,0.8448275862068966,0.8521739130434782,0.55029296875
4,0.43033100361645965,0.35772374937357,0.8298755186721992,0.8677685950413223,0.9090132974595126,0.9292556102900931,0.92,0.7931034482758621,0.8518518518518519,0.68701171875
5,0.4080074768343407,0.330058069268534,0.8589211618257261,0.8842975206611571,0.9143512529966714,0.9429392446633826,0.8333333333333334,0.9482758620689655,0.8870967741935484,0.3876953125
6,0.40421461613841075,0.3396440931588165,0.8464730290456431,0.8925619834710744,0.9157482623618082,0.9426655719759168,0.8688524590163934,0.9137931034482759,0.8907563025210085,0.2239990234375
7,0.3798947126538922,0.33953691809630593,0.8651452282157677,0.8760330578512396,0.9252858695089771,0.946223316912972,0.8208955223880597,0.9482758620689655,0.88,0.14697265625
8,0.4066968859478646,0.3344279576924222,0.8485477178423236,0.8842975206611571,0.9075817940359775,0.944991789819376,0.8666666666666667,0.896551724137931,0.8813559322033898,0.157958984375
9,0.3717650228268873,0.32364122729656125,0.8692946058091287,0.8842975206611571,0.9289594867284111,0.944991789819376,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.5966796875
10,0.36992644299115385,0.34119547694182595,0.8589211618257261,0.8760330578512396,0.9275279833048757,0.9391078270388615,0.9056603773584906,0.8275862068965517,0.8648648648648649,0.64892578125
11,0.3652190143142004,0.32648028421007896,0.8734439834024896,0.8842975206611571,0.9266052672427175,0.9466338259441707,0.9230769230769231,0.8275862068965517,0.8727272727272727,0.7578125
12,0.37092714481581296,0.322829455383553,0.8692946058091287,0.8925619834710744,0.9228971559648851,0.9503284072249589,0.9245283018867925,0.8448275862068966,0.8828828828828829,0.58837890625
13,0.357216331103036,0.30545435365566537,0.8796680497925311,0.9008264462809917,0.9309687656301202,0.9548440065681445,0.9107142857142857,0.8793103448275862,0.8947368421052632,0.54638671875
14,0.33253631644971143,0.31782394204257935,0.8796680497925311,0.9008264462809917,0.9426191338541936,0.9518336070060208,0.9259259259259259,0.8620689655172413,0.8928571428571429,0.4892578125
15,0.3118700621286368,0.327684035971145,0.8921161825726142,0.8925619834710744,0.9515617184939895,0.9516967706622879,0.9245283018867925,0.8448275862068966,0.8828828828828829,0.400634765625
16,0.34053225645262175,0.3223018508312131,0.8775933609958506,0.8842975206611571,0.9394198099377381,0.9486863711001642,0.8793103448275862,0.8793103448275862,0.8793103448275862,0.331787109375
17,0.3613463625373682,0.32554172681382865,0.8775933609958506,0.8842975206611571,0.9279591590348563,0.9518336070060207,0.8793103448275862,0.8793103448275862,0.8793103448275862,0.262451171875
18,0.3081740263339395,0.32772850596215114,0.8879668049792531,0.8925619834710744,0.9512426484538039,0.9519704433497537,0.8947368421052632,0.8793103448275862,0.8869565217391304,0.30029296875
19,0.34278325112034175,0.33240195640847703,0.8692946058091287,0.8842975206611571,0.9442317310843207,0.9501915708812261,0.9074074074074074,0.8448275862068966,0.875,0.51123046875
