,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,val_precision,val_recall,val_f1,best_thr
best_epoch,8.0,0.34465486353093927,0.3372200051275622,0.8842975206611571,0.8907563025210085,0.935827505428928,0.9420351473922902,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.73388671875
mean,7.5,0.40346198711531084,0.3615614966984664,0.8531582054309327,0.884153661464586,0.9057735947686874,0.933673469387755,0.8869876079789041,0.8660714285714286,0.8756392279585009,0.6522914341517857
median,7.5,0.36755165913380866,0.35231835551622537,0.871900826446281,0.8907563025210085,0.9241916454354256,0.9342403628117913,0.892822966507177,0.8571428571428571,0.8807339449541285,0.70166015625
