,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice
best_epoch,1.0,66.0,0.27067762315273286,0.2498450517654419,0.9392082095146179,0.9360458685426363,0.757001867182147,0.9710375053801847,0.845110693248765,0.7393672192427134,0.8451106981302327
mean,1.0,38.5,0.38621212471472594,0.3937218124929227,0.8247114817562856,0.8274362369458675,0.5901451335545251,0.9793264143280533,0.7160645334601746,0.5805642749810532,0.7160645379556136
median,1.0,38.5,0.38684516549110415,0.33761072158813477,0.8835611343383789,0.8963534608178314,0.6384831765590502,0.9748061004198979,0.7664342269318549,0.626204837463735,0.7664342316879926
