,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice
best_epoch,1.0,51.0,0.21229234668943617,0.256987312260796,0.952614056943643,0.9387246923507799,0.8654065578138634,0.8652212989100568,0.8520739698343147,0.7598535725821611,0.852073974746778
mean,1.0,30.5,0.28601637426199333,0.3451651105693743,0.8810040112923491,0.8741748286227445,0.7583742544152303,0.8804173262054579,0.7851449955799017,0.6744156780350591,0.7851450003237332
median,1.0,30.5,0.23528500081914844,0.26763104691224937,0.9444915429510251,0.9367316750917933,0.8495926643750459,0.8691316147951972,0.848215080823212,0.7524226456482563,0.8482150857427933
