epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
1,0.6534802493218069,0.5857163532213732,0.6390041493775933,0.743801652892562,0.6943136544730171,0.782703886152162,0.7931034482758621
2,0.5455130225209774,0.6492628064776255,0.7531120331950207,0.7603305785123967,0.8051258170780082,0.7865353037766831,0.8275862068965517
3,0.5014510423068683,0.6394098416463403,0.7842323651452282,0.7603305785123967,0.8539694037702006,0.7898193760262726,0.8620689655172413
4,0.484827371059117,0.632025764131349,0.7863070539419087,0.768595041322314,0.86128214415067,0.8106185002736727,0.8793103448275862
5,0.44995904537652043,0.8045543347570029,0.8423236514522822,0.7768595041322314,0.8920680912712785,0.8182813355227149,0.8275862068965517
6,0.5156750718896814,0.7878005236448827,0.7925311203319502,0.7520661157024794,0.847812214346079,0.7810618500273674,0.7931034482758621
7,0.4345602439523238,0.8581960132299375,0.8257261410788381,0.743801652892562,0.8841517048688362,0.8133552271483306,0.7241379310344828
8,0.4079261719871359,0.9347576428327925,0.8651452282157677,0.7520661157024794,0.8927579724392473,0.8130815544608648,0.8793103448275862
9,0.4622883045914509,0.9757734093938238,0.8526970954356846,0.7355371900826446,0.9026060261120022,0.8021346469622331,0.8448275862068966
10,0.35508206597996944,0.9738482639255109,0.8713692946058091,0.743801652892562,0.925975750676946,0.7925561029009304,0.7241379310344828
11,0.33096138774359374,1.014692259952426,0.9004149377593361,0.7355371900826446,0.9359790276124937,0.7777777777777778,0.8448275862068966
12,0.28696568939386563,1.0521386234659302,0.8900414937759336,0.7355371900826446,0.9268725961953053,0.7816091954022989,0.7586206896551724
13,0.421230073848206,0.985841824172819,0.8589211618257261,0.7520661157024794,0.9039340473603422,0.7909140667761357,0.7758620689655172
14,0.3189587235698067,1.0217338557978553,0.8983402489626556,0.743801652892562,0.9384625998171815,0.7859879584017515,0.7413793103448276
15,0.28734276179394286,1.0501086533777724,0.921161825726141,0.743801652892562,0.9567961918559529,0.7736726874657909,0.7586206896551724
