,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,10.0,0.43368714259496866,0.8065968876288943,0.8485477178423236,0.7933884297520661,0.9092633793829015,0.8464696223316913,0.9137931034482759
mean,10.5,0.41287021249903677,0.8127023654474208,0.8401452282157675,0.7698347107438016,0.882566702885428,0.8297619047619047,0.8267241379310345
median,10.5,0.3873537770661823,0.8766904431741592,0.8724066390041494,0.7768595041322314,0.9091254031493077,0.8295019157088124,0.8793103448275862
