,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice,val_hd95,val_asd
best_epoch,7.0,10.0,0.34942171185515647,0.4399638090814863,0.964622485083203,0.9619600810700545,0.0,0.0,0.0,0.0,0.0,,
mean,7.0,5.5,0.44080556346926575,0.5912540133510318,0.9615012688692225,0.9619600810700545,0.0,0.0,0.0,0.0,0.0,,
median,7.0,5.5,0.38342416702314863,0.5295135762010302,0.9646536354408708,0.9619600810700545,0.0,0.0,0.0,0.0,0.0,,
