,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,17.0,0.2773626279781468,0.616274374083054,0.9107883817427386,0.7933884297520661,0.9648678015211881,0.8648056923918993,0.8103448275862069
mean,13.0,0.3856293630414484,0.6064682099494066,0.8548547717842324,0.780495867768595,0.9128045394180853,0.8417077175697866,0.7531034482758621
median,13.0,0.3755589706892789,0.616274374083054,0.8775933609958506,0.7933884297520661,0.9297183560131768,0.8475643130815544,0.7413793103448276
