prediction,acc,auc,precision,recall,f1,best_thr,fold_mean_auc,fold_std_auc
weighted_blend_prob,0.8540630182421227,0.9334736517312059,0.8910505836575876,0.7923875432525952,0.8388278388278388,0.6447956562042236,0.9388537109214999,0.011115398091105825
average_blend_prob,0.8540630182421227,0.9330328609525488,0.8910505836575876,0.7923875432525952,0.8388278388278388,0.6862131357192993,0.9397374592706071,0.010680050675122761
logreg_prob,0.8540630182421227,0.9256936944879113,0.8576512455516014,0.8339100346020761,0.8456140350877193,0.514645516872406,0.9293321146672484,0.009091369097617628
hybrid_prob,0.8407960199004975,0.9112302470632314,0.8122977346278317,0.8685121107266436,0.8394648829431438,0.2587890625,0.9381586907098578,0.01338695119538
tabular_branch_prob,0.8391376451077943,0.909158530403544,0.8356643356643356,0.8269896193771626,0.831304347826087,0.5078125,0.9156708771846841,0.015244664176806044
image_branch_prob,0.8076285240464345,0.8570625702510304,0.7993079584775087,0.7993079584775087,0.7993079584775087,0.62060546875,0.8743947050245617,0.04716177629645357
