epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,val_precision,val_recall,val_f1,best_thr
1,0.7926355878512065,0.5107875730448622,0.7895833333333333,0.8292682926829268,0.8572298802561961,0.9094394500264411,0.7941176470588235,0.8852459016393442,0.8372093023255814,0.0994873046875
2,0.7101401104281346,0.5349580628600547,0.8270833333333333,0.8211382113821138,0.8902290448343081,0.9106292966684294,0.7746478873239436,0.9016393442622951,0.8333333333333334,0.06768798828125
3,0.6569824816038211,0.5656704590087984,0.8625,0.8373983739837398,0.9027777777777778,0.9004494976203066,0.8153846153846154,0.8688524590163934,0.8412698412698413,0.06842041015625
4,0.6585995227098465,0.5205831457444323,0.8625,0.8455284552845529,0.8966252436647173,0.9197514542570068,0.8,0.9180327868852459,0.8549618320610687,0.103759765625
5,0.6297442384064198,0.5130733771295082,0.86875,0.8292682926829268,0.9020119743803955,0.9081173982020095,0.7702702702702703,0.9344262295081968,0.8444444444444444,0.0869140625
6,0.5722740731512507,0.48924542854471903,0.8791666666666667,0.8536585365853658,0.9315824282929546,0.911290322580645,0.7945205479452054,0.9508196721311475,0.8656716417910447,0.1749267578125
7,0.5515705205500125,0.5319300350861821,0.89375,0.8373983739837398,0.9286497493734336,0.9033580116340559,0.7808219178082192,0.9344262295081968,0.8507462686567164,0.63623046875
8,0.5375469463566939,0.4751822634683392,0.8958333333333334,0.8617886178861789,0.9407981759955444,0.932971972501322,0.9074074074074074,0.8032786885245902,0.8521739130434782,0.94921875
9,0.507208171673119,0.47683497197259733,0.9020833333333333,0.8536585365853658,0.9435307017543861,0.9304600740349022,0.8412698412698413,0.8688524590163934,0.8548387096774194,0.63134765625
10,0.4897237751632929,0.5048260796603149,0.9041666666666667,0.8536585365853658,0.952964007240323,0.9135378106821788,0.8909090909090909,0.8032786885245902,0.8448275862068966,0.96044921875
11,0.4862233066931367,0.48998132093650537,0.9104166666666667,0.8617886178861789,0.9584116541353384,0.9262295081967212,0.8928571428571429,0.819672131147541,0.8547008547008547,0.94189453125
12,0.5435619551688433,0.5337139166346411,0.8958333333333334,0.8455284552845529,0.9486998746867168,0.911951348492861,0.8620689655172413,0.819672131147541,0.8403361344537815,0.95263671875
13,0.40512789351244766,0.5999441265575285,0.9354166666666667,0.8211382113821138,0.9712214564188248,0.8926493918561607,0.8,0.8524590163934426,0.8253968253968254,0.88037109375
14,0.47361262490351996,0.5107521919942484,0.9208333333333333,0.8536585365853658,0.959325396825397,0.9296668429402433,0.8771929824561403,0.819672131147541,0.847457627118644,0.95556640625
15,0.4582636884103219,0.5832959395962033,0.91875,0.8292682926829268,0.96541701475912,0.9095716552088842,0.8571428571428571,0.7868852459016393,0.8205128205128205,0.96875
16,0.45247662588953974,0.570919126817366,0.9229166666666667,0.8536585365853658,0.9632153299916457,0.9173717609730301,0.9056603773584906,0.7868852459016393,0.8421052631578947,0.9697265625
