epoch,g_total,g_adv,g_recon,d_loss,val_l1
1,5.186521,-0.070900,5.257421,1.674899,0.172052
2,3.408468,0.332124,3.076344,1.488883,0.194037
3,3.261590,0.160636,3.100954,1.492061,0.315421
4,3.208365,0.303410,2.904955,1.551039,0.165030
5,3.315978,0.379063,2.936915,1.336519,0.173462
6,3.354706,0.325840,3.028866,1.473646,0.222302
7,3.246688,0.324588,2.922100,1.254035,0.164678
8,3.370518,0.255845,3.114674,1.144821,0.199706
9,3.328849,0.415784,2.913065,1.372656,0.176474
10,3.100711,0.162012,2.938700,1.286095,0.200631
11,3.176850,0.203446,2.973404,1.423643,0.176198
12,3.320054,0.545581,2.774473,1.390576,0.190404
13,3.162273,0.387326,2.774948,1.454279,0.174950
14,3.366941,0.608013,2.758929,1.387742,0.175556
15,3.538324,0.576402,2.961922,1.270565,0.168898
16,3.171146,0.256720,2.914426,1.338739,0.178784
17,3.210209,0.475918,2.734291,1.327855,0.213370
18,3.136399,0.225940,2.910459,1.443393,0.166609
19,3.439744,0.443414,2.996330,1.390830,0.159578
20,3.364625,0.352355,3.012269,1.411984,0.160643
21,3.152179,0.190947,2.961232,1.514885,0.202590
22,3.750132,0.120882,3.629250,1.168330,0.218054
23,3.187640,0.011289,3.176351,1.292571,0.169909
24,3.422259,0.480003,2.942256,1.412714,0.318097
25,3.388116,0.257686,3.130430,1.167899,0.220086
26,2.980056,-0.124366,3.104422,1.375861,0.182765
27,2.856179,-0.266732,3.122911,1.224778,0.181781
28,3.354711,0.160601,3.194110,1.281462,0.290972
29,4.490089,0.177151,4.312939,0.850551,0.169997
30,3.278790,-0.207707,3.486497,1.025573,0.185118
31,3.727933,-0.340182,4.068115,1.059922,0.198594
32,3.338013,-0.206020,3.544033,1.284345,0.171495
33,3.084627,0.013250,3.071376,1.619388,0.181514
34,3.209607,0.081126,3.128480,1.387141,0.183694
35,3.027136,-0.263358,3.290494,1.119846,0.207545
36,3.338442,0.185630,3.152812,1.244893,0.256741
37,3.420267,-0.503076,3.923342,1.023786,0.196113
38,2.668732,-0.858972,3.527705,1.065371,0.170948
39,2.806434,-0.935176,3.741610,0.995421,0.283844
40,2.878576,-0.665463,3.544039,1.011382,0.161319
41,2.871875,-0.405654,3.277529,0.983378,0.221579
42,3.773512,-0.332489,4.106002,0.753344,0.232842
43,3.179159,-0.104452,3.283611,1.217782,0.201223
44,3.896841,0.290299,3.606541,0.843208,0.166443
45,3.558600,0.130863,3.427737,1.020073,0.238948
46,3.453738,-0.318258,3.771996,0.926018,0.189142
47,3.901064,0.514114,3.386950,0.833140,0.235526
48,4.924776,1.634326,3.290451,0.382327,0.236248
49,4.856411,1.785489,3.070922,0.498330,0.189621
50,4.476496,1.456890,3.019606,0.428031,0.182092
