epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc
1,0.6895772472942044,0.7043260152523334,0.5545023696682464,0.4807692307692308,0.6125988497483825,0.5037037037037037
2,0.6570532802156928,0.6892419136487521,0.7014218009478673,0.6346153846153846,0.788371675053918,0.68
3,0.6474818765269637,0.6603682132867666,0.7251184834123223,0.7115384615384616,0.7923256649892164,0.8044444444444445
4,0.6235897541046143,0.6218039714373075,0.7582938388625592,0.8269230769230769,0.8515456506110711,0.8651851851851852
5,0.6124940757502877,0.6150371661553016,0.7677725118483413,0.8269230769230769,0.847411933860532,0.8592592592592594
6,0.5979883467416628,0.5938858985900879,0.7582938388625592,0.8269230769230769,0.8478612508986341,0.8785185185185185
7,0.5703645057587827,0.5877796457364008,0.8151658767772512,0.8269230769230769,0.8818296189791517,0.8800000000000001
8,0.565004599885353,0.5815484982270461,0.7867298578199052,0.8076923076923077,0.86637311286844,0.8725925925925926
9,0.5473849458434571,0.5712625521879929,0.8104265402843602,0.8076923076923077,0.8751797268152408,0.8785185185185185
10,0.5321031715632615,0.5484464351947491,0.8056872037914692,0.8461538461538461,0.8934219985621855,0.8962962962962964
11,0.5167677302213641,0.558615675339332,0.8009478672985783,0.8076923076923077,0.9067217828900073,0.8577777777777778
12,0.5079968602736414,0.5351852912169236,0.8151658767772512,0.8076923076923077,0.8946800862688714,0.8977777777777778
13,0.5119713361229377,0.5152402382630569,0.8009478672985783,0.8269230769230769,0.8877606038820992,0.9007407407407407
14,0.5098700706992669,0.5086688949511602,0.8104265402843602,0.8461538461538461,0.888569374550683,0.9066666666666666
15,0.490853355111669,0.5044673039362981,0.8056872037914692,0.8076923076923077,0.8936017253774263,0.914074074074074
16,0.48373111249146306,0.510470491189223,0.8151658767772512,0.8269230769230769,0.9046549245147375,0.8948148148148148
17,0.48115739296962867,0.49598235808886015,0.7867298578199052,0.8269230769230769,0.8838964773544213,0.9066666666666667
18,0.44632100550484316,0.497826663347391,0.8388625592417062,0.8269230769230769,0.9222681524083394,0.9007407407407407
19,0.47217686283644905,0.4903787420346187,0.8104265402843602,0.7884615384615384,0.8917145938173975,0.8903703703703704
20,0.44763897620671167,0.47717071496523344,0.8151658767772512,0.8269230769230769,0.909058231488138,0.9066666666666667
21,0.43495941289228285,0.49100182148126453,0.8436018957345972,0.8076923076923077,0.9217289719626168,0.9051851851851851
22,0.42330027219808497,0.48679412786777204,0.8246445497630331,0.8461538461538461,0.9205607476635513,0.9007407407407407
23,0.4073639108106423,0.4560302816904508,0.8530805687203792,0.8076923076923077,0.9377246585190511,0.914074074074074
24,0.43885601442572064,0.45742207765579224,0.8483412322274881,0.8461538461538461,0.9140905823148814,0.914074074074074
25,0.3903897260602617,0.4548160708867587,0.909952606635071,0.8076923076923077,0.938803019410496,0.9096296296296296
