,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice
best_epoch,2.0,58.0,0.41577223539352415,0.3791465163230896,0.9402072548866272,0.946118164062313,0.7959651189293709,0.9226849881239392,0.8440893808580229,0.744200219874471,0.8440893857500528
mean,2.0,30.5,0.6038167205452919,0.6150215903917948,0.9067119681835174,0.9151377441404441,0.7046538157370327,0.8188564579008409,0.7361686129664593,0.6193081009375427,0.7361686176904917
median,2.0,30.5,0.5080098003149033,0.5146363973617554,0.9293875455856323,0.9271777343748168,0.7411734867649766,0.8988007727452156,0.7953217186024506,0.6734984281135011,0.7953217234181001
