,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,22.0,0.1714818597291455,0.36608422654015677,0.9621212121212122,0.8571428571428571,0.9941889662099146,0.9287652645861602,0.8636363636363636
mean,15.0,0.2986014415680303,0.3990600188531992,0.8810083594566352,0.8452164894996111,0.9420614941024289,0.9152279355573231,0.8620689655172412
median,15.0,0.28559171250372223,0.3749957315455702,0.8958333333333334,0.849624060150376,0.9627089461223904,0.9253731343283582,0.8636363636363636
