epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
1,0.6252213183677557,0.7243221899620572,0.6382575757575758,0.6390977443609023,0.7137548068644894,0.6227951153324287,0.4626865671641791
2,0.5068121534405332,0.5357391625866854,0.7859848484848485,0.7894736842105263,0.86582968649114,0.8514246947082768,0.8656716417910447
3,0.46551436908317334,0.4813601002657324,0.7821969696969697,0.8195488721804511,0.8772939235239258,0.8643147896879241,0.8507462686567164
4,0.42622776916532806,0.46234570925397084,0.821969696969697,0.8195488721804511,0.9000803489439853,0.8760741745816373,0.8656716417910447
5,0.3899015648798509,0.44266030640530407,0.8276515151515151,0.8195488721804511,0.9162505739210285,0.883989145183175,0.8507462686567164
6,0.3588436381383376,0.43469483915128204,0.8484848484848485,0.8195488721804511,0.9324025713137807,0.8912256897331524,0.8507462686567164
7,0.35808673320394574,0.4190318178861661,0.8541666666666666,0.8270676691729323,0.9304828179926824,0.8943916779737675,0.8955223880597015
8,0.3351579967773322,0.41363798205117536,0.875,0.8270676691729323,0.9386156230270333,0.8957485300768883,0.7761194029850746
9,0.31228268733530334,0.4072917421957604,0.8693181818181818,0.8345864661654135,0.949936865063422,0.8995929443690638,0.8955223880597015
10,0.2944134252540993,0.4009345731789008,0.8920454545454546,0.8421052631578947,0.9570251965792343,0.9032112166440525,0.8955223880597015
11,0.29978395908167865,0.3974847522445191,0.8825757575757576,0.8345864661654135,0.9519771579430671,0.9016282225237449,0.7910447761194029
12,0.2705290349143924,0.38833868817279216,0.9015151515151515,0.8571428571428571,0.9654643021120294,0.9093170511080958,0.835820895522388
13,0.26353956488045777,0.3921843493791451,0.9147727272727273,0.8421052631578947,0.9643595041322315,0.9090909090909091,0.8208955223880597
14,0.24450249066858581,0.3856648000559412,0.928030303030303,0.849624060150376,0.9722509182736455,0.9104477611940298,0.8507462686567164
15,0.2266383015296676,0.37497400587662716,0.9223484848484849,0.8571428571428571,0.9769423918502045,0.9154228855721392,0.835820895522388
16,0.20975746756250208,0.37635207534732673,0.928030303030303,0.849624060150376,0.9828531251793606,0.9129353233830845,0.8059701492537313
17,0.23744530253338092,0.37872330452266495,0.9185606060606061,0.8421052631578947,0.9716909390917569,0.9127091813658977,0.8059701492537313
18,0.20458930256691846,0.38160412428074314,0.928030303030303,0.8421052631578947,0.9846330439773299,0.9097693351424695,0.8059701492537313
19,0.16943367299708453,0.38526898555289535,0.9526515151515151,0.849624060150376,0.9929690638810766,0.9075079149706015,0.8805970149253731
20,0.19802451585278366,0.38224298142849056,0.9375,0.8421052631578947,0.9846904369036517,0.9095431931252826,0.8656716417910447
21,0.1571274950648799,0.38115503734215755,0.9507575757575758,0.8421052631578947,0.9929547150318545,0.9104477611940298,0.8507462686567164
22,0.14115332676605744,0.38032614400512293,0.9659090909090909,0.8345864661654135,0.9956236009872008,0.9090909090909091,0.835820895522388
