,epoch,is_pretrain_eval,train_loss,val_loss,train_acc,val_acc,val_acc_train_thr,train_auc,val_auc,val_precision,val_recall,val_f1,train_best_thr,val_best_thr,val_used_train_thr
best_epoch,20.0,False,0.3289837012863505,0.3163054472158763,0.8796680497925311,0.9008264462809917,0.8760330578512396,0.9484313826943309,0.9630541871921182,0.896551724137931,0.896551724137931,0.896551724137931,0.6376953125,0.14599609375,0.6376953125
mean,13.5,0.0,0.36864955779824954,0.3343547324295341,0.8678582827960422,0.8833439287984743,0.8668150031786396,0.9249213601803242,0.9469969685486928,0.8726441819899466,0.8919098143236075,0.8795663158713324,0.5084463266225961,0.3205073429987981,0.5084463266225961
median,13.5,0.0,0.3440098281161419,0.3160425441816819,0.8755186721991701,0.8925619834710744,0.8760330578512396,0.936125627360687,0.956759715380405,0.8890350877192983,0.896551724137931,0.8898225957049486,0.505859375,0.2479248046875,0.505859375
