epoch,is_pretrain_eval,train_loss,val_loss,train_acc,val_acc,val_acc_train_thr,train_auc,val_auc,val_precision,val_recall,val_f1,train_best_thr,val_best_thr,val_used_train_thr
0,True,0.7144985490814779,0.7148810881228487,0.529045643153527,0.5206611570247934,0.5041322314049587,0.36980676328502415,0.3363860032804811,0.5555555555555556,0.0847457627118644,0.14705882352941177,0.576171875,0.54931640625,0.576171875
1,False,0.6360102298348771,0.45311674746600067,0.6887966804979253,0.8347107438016529,0.7933884297520661,0.7476535541752933,0.9066429743028976,0.8545454545454545,0.7966101694915254,0.8245614035087719,0.5166015625,0.54931640625,0.5166015625
2,False,0.4951156383975413,0.3971464599459624,0.8215767634854771,0.8347107438016529,0.8264462809917356,0.8798654244306419,0.9242755604155276,0.7746478873239436,0.9322033898305084,0.8461538461538461,0.544921875,0.2386474609375,0.544921875
3,False,0.42834134591565587,0.3935404860776318,0.8485477178423236,0.8347107438016529,0.8099173553719008,0.9129054520358869,0.9190814652815746,0.7910447761194029,0.8983050847457628,0.8412698412698413,0.467041015625,0.257568359375,0.467041015625
4,False,0.4163355478607273,0.4101818738397488,0.8526970954356846,0.8347107438016529,0.8181818181818182,0.9113871635610766,0.9125205030071079,0.8421052631578947,0.8135593220338984,0.8275862068965517,0.421875,0.343505859375,0.421875
5,False,0.3970752506829891,0.38192567666453764,0.8506224066390041,0.8429752066115702,0.8347107438016529,0.9214285714285713,0.9308365226899945,0.8448275862068966,0.8305084745762712,0.8376068376068376,0.375,0.273193359375,0.375
6,False,0.38590827256564775,0.35773921413116216,0.8692946058091287,0.859504132231405,0.8512396694214877,0.9164768806073154,0.9311098961180974,0.8088235294117647,0.9322033898305084,0.8661417322834646,0.4345703125,0.2783203125,0.4345703125
7,False,0.35786383663964966,0.47116367395751735,0.8775933609958506,0.8264462809917356,0.7933884297520661,0.928968253968254,0.9174412247129579,0.7794117647058824,0.8983050847457628,0.8346456692913385,0.525390625,0.08819580078125,0.525390625
8,False,0.3502254241235029,0.46292279078817566,0.8817427385892116,0.8347107438016529,0.8099173553719008,0.9336956521739131,0.918534718425369,0.8095238095238095,0.864406779661017,0.8360655737704918,0.4755859375,0.1048583984375,0.4755859375
9,False,0.34143131971359253,0.5272399360729643,0.8879668049792531,0.8181818181818182,0.7768595041322314,0.9411059351276742,0.8977583378895573,0.8490566037735849,0.7627118644067796,0.8035714285714286,0.5732421875,0.11456298828125,0.5732421875
10,False,0.337980458226936,0.42678410319749976,0.8941908713692946,0.8347107438016529,0.8181818181818182,0.9395790200138027,0.9156642974302898,0.819672131147541,0.847457627118644,0.8333333333333334,0.329345703125,0.203125,0.329345703125
11,False,0.33472325074722165,0.4333336087297802,0.8879668049792531,0.8347107438016529,0.8347107438016529,0.9392684610075915,0.9162110442864955,0.819672131147541,0.847457627118644,0.8333333333333334,0.395263671875,0.21484375,0.395263671875
12,False,0.31836681754262613,0.5374496214030203,0.8900414937759336,0.8264462809917356,0.7933884297520661,0.947015182884748,0.9044559868780754,0.8518518518518519,0.7796610169491526,0.8141592920353983,0.34521484375,0.08978271484375,0.34521484375
