epoch,g_total,g_adv,g_recon,d_loss,val_l1
118,5.579281,1.745675,3.833606,0.969001,0.163380
119,5.753239,1.861355,3.891883,0.968920,0.158368
120,5.430724,1.569005,3.861719,1.053371,0.162609
121,5.606977,1.756550,3.850427,1.088206,0.159710
122,5.444436,1.575829,3.868608,1.118511,0.159173
123,5.342659,1.552088,3.790570,1.265169,0.160034
124,5.359063,1.557547,3.801516,1.147277,0.157584
125,5.617728,1.784970,3.832758,0.939330,0.157483
126,5.708415,1.922621,3.785794,0.904343,0.158840
127,5.625184,1.836506,3.788677,0.942956,0.161014
128,5.695077,1.859642,3.835436,0.995561,0.175029
129,5.752625,1.951530,3.801096,0.935764,0.157333
130,5.411221,1.572804,3.838417,1.113634,0.158731
131,5.573700,1.775881,3.797819,1.053816,0.159553
132,5.678476,1.888190,3.790286,0.925614,0.160179
133,5.491695,1.707097,3.784598,1.178862,0.157782
134,5.328634,1.532586,3.796048,1.178790,0.162443
135,5.453195,1.697492,3.755703,1.123347,0.159120
136,5.600151,1.828855,3.771296,1.019644,0.154252
137,5.504302,1.735442,3.768860,1.066940,0.157183
138,5.396101,1.626617,3.769484,1.215848,0.159586
139,5.325376,1.559045,3.766330,1.292206,0.159329
140,5.445980,1.654401,3.791578,1.149738,0.160756
141,5.517443,1.735270,3.782173,1.175757,0.159473
142,5.280562,1.535751,3.744812,1.227613,0.161352
143,5.242659,1.427742,3.814916,1.303049,0.158341
144,5.345754,1.578512,3.767242,1.151866,0.158303
145,5.477465,1.674752,3.802713,1.200592,0.161562
146,5.417071,1.687150,3.729921,1.114924,0.159486
147,5.229086,1.479908,3.749177,1.384792,0.157377
148,5.215003,1.488494,3.726509,1.291627,0.161321
149,5.007564,1.276512,3.731052,1.477312,0.160855
150,5.079759,1.339560,3.740199,1.373587,0.157430
151,5.014200,1.294873,3.719327,1.365397,0.157054
152,5.207360,1.487615,3.719745,1.310539,0.160960
153,5.156609,1.407954,3.748655,1.395542,0.159021
154,5.207648,1.481199,3.726450,1.342069,0.160747
155,5.039513,1.314167,3.725346,1.358473,0.157928
156,5.165967,1.450405,3.715561,1.376826,0.155414
157,5.173767,1.475337,3.698430,1.389286,0.160717
158,5.212846,1.471200,3.741646,1.394325,0.157833
159,5.339313,1.611518,3.727794,1.272448,0.157832
160,4.974172,1.251722,3.722450,1.466083,0.158912
161,5.036562,1.314240,3.722322,1.380685,0.158039
162,5.055778,1.323158,3.732619,1.359928,0.160312
163,5.285043,1.564341,3.720702,1.311768,0.160815
164,4.864559,1.126210,3.738349,1.505605,0.159259
165,4.856087,1.163668,3.692420,1.451122,0.156709
166,5.041175,1.343246,3.697928,1.507245,0.159628
167,4.779838,1.062052,3.717785,1.413375,0.160531
168,5.025476,1.311882,3.713594,1.374543,0.156038
169,5.013288,1.307350,3.705937,1.449492,0.156786
170,5.316413,1.610193,3.706220,1.189809,0.158718
171,5.085451,1.390831,3.694620,1.369394,0.157547
172,4.914884,1.195834,3.719050,1.450948,0.157135
173,5.057454,1.374255,3.683199,1.430958,0.159940
174,4.998965,1.303733,3.695232,1.395425,0.158097
175,4.897358,1.205686,3.691672,1.489113,0.160756
176,4.651504,0.942334,3.709170,1.430255,0.159450
177,4.879789,1.191099,3.688691,1.433145,0.158350
178,4.777776,1.085696,3.692080,1.519143,0.159079
179,4.708514,1.015756,3.692759,1.388142,0.160771
180,4.955922,1.243666,3.712256,1.380241,0.157652
181,4.922853,1.218974,3.703880,1.302706,0.157430
182,5.000359,1.299609,3.700749,1.360142,0.156650
183,4.828652,1.137493,3.691159,1.373785,0.160304
184,4.815761,1.116157,3.699604,1.366406,0.159874
185,4.930936,1.219043,3.711893,1.342222,0.157492
186,4.931898,1.244540,3.687358,1.196649,0.158216
187,5.147940,1.448437,3.699503,1.283873,0.159528
188,4.995969,1.286854,3.709115,1.356300,0.160302
189,4.795619,1.089867,3.705751,1.361996,0.158228
190,4.759609,1.064808,3.694801,1.354244,0.159776
191,4.760374,1.059133,3.701241,1.298673,0.161478
192,4.927229,1.235303,3.691926,1.306656,0.160816
193,5.093013,1.399427,3.693586,1.318904,0.156211
194,4.620337,0.922445,3.697892,1.350775,0.159533
195,4.784060,1.094197,3.689863,1.287841,0.158874
196,4.732949,1.048975,3.683973,1.327539,0.159706
197,4.861393,1.161378,3.700016,1.305656,0.158500
198,4.834026,1.152516,3.681511,1.285283,0.159013
199,4.672510,0.990687,3.681823,1.321948,0.160394
200,5.000863,1.309519,3.691344,1.269121,0.157964
201,4.805882,1.118208,3.687674,1.340510,0.156079
202,4.732285,1.052976,3.679309,1.340892,0.159788
203,4.905560,1.220188,3.685372,1.334572,0.159654
