epoch,g_total,g_adv,g_recon,g_fm,d_loss,val_l1,val_edge,val_ssim,val_score
68,8.105766,2.156143,4.858206,0.272855,0.000011,0.199849,0.300673,0.076667,1.228418
69,8.029626,2.142742,4.803122,0.270940,0.000009,0.205032,0.304516,0.068602,1.243011
70,8.076803,2.199760,4.795600,0.270361,0.000122,0.202572,0.298454,0.088142,1.218888
71,8.092525,2.232207,4.772095,0.272056,0.000016,0.205806,0.299235,0.077627,1.232911
72,8.099409,2.270944,4.742892,0.271393,0.000027,0.210183,0.300713,0.067000,1.248432
73,8.078787,2.263362,4.733224,0.270550,0.000017,0.209258,0.300263,0.079482,1.234868
74,8.069963,2.265185,4.724164,0.270153,0.000005,0.204064,0.300777,0.078369,1.230967
75,8.043381,2.245848,4.720157,0.269344,0.000013,0.201418,0.300635,0.072905,1.233735
76,8.043514,2.273347,4.694702,0.268866,0.000002,0.200174,0.298108,0.079967,1.224545
77,8.021698,2.260192,4.687534,0.268493,0.000006,0.202838,0.294365,0.104826,1.201039
78,8.013691,2.252360,4.689675,0.267914,0.000006,0.204865,0.300376,0.073628,1.236368
79,7.980842,2.253665,4.658412,0.267191,0.000002,0.205020,0.299966,0.083229,1.226779
80,7.972575,2.243860,4.659897,0.267204,0.000010,0.198484,0.297861,0.098996,1.203740
81,7.990777,2.265893,4.656202,0.267170,0.000015,0.201744,0.298398,0.079421,1.226762
82,7.969756,2.262933,4.640103,0.266680,0.000003,0.202726,0.297587,0.094876,1.212005
83,7.982712,2.257681,4.658136,0.266724,0.000032,0.197632,0.295786,0.105435,1.195723
84,7.984327,2.286122,4.632155,0.266513,0.000009,0.196650,0.297547,0.099327,1.201465
85,7.986167,2.287647,4.631016,0.266876,0.000000,0.201732,0.299769,0.080028,1.226623
86,7.951862,2.266989,4.620937,0.265984,0.000001,0.200225,0.297223,0.097307,1.206946
87,7.948081,2.271055,4.615081,0.265486,0.000006,0.199428,0.295039,0.086344,1.216347
88,7.932494,2.279328,4.593244,0.264981,0.000001,0.203688,0.297101,0.080810,1.226863
89,7.927819,2.264803,4.603758,0.264815,0.000001,0.201344,0.294951,0.089264,1.215313
90,7.901262,2.259984,4.584871,0.264102,0.000001,0.200895,0.298612,0.086502,1.218908
91,7.908447,2.262187,4.589852,0.264102,0.000001,0.200977,0.295630,0.102856,1.201591
92,7.893575,2.265325,4.573119,0.263783,0.000002,0.200160,0.299560,0.091973,1.213033
93,7.877186,2.253829,4.570960,0.263099,0.000000,0.201639,0.297171,0.091095,1.214554
94,7.885349,2.266846,4.564357,0.263537,0.000003,0.199800,0.296325,0.102139,1.201374
95,7.881451,2.259439,4.570184,0.262957,0.000001,0.202922,0.295884,0.074432,1.232049
96,7.865702,2.256349,4.558605,0.262687,0.000001,0.200052,0.294821,0.092851,1.210388
97,7.856079,2.252062,4.555441,0.262144,0.000002,0.198612,0.293129,0.096907,1.204300
