epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
1,0.6317728668822292,0.5875372142831156,0.6307053941908713,0.7272727272727273,0.6690812507545575,0.7720306513409961,0.8103448275862069
2,0.5483121821247195,0.5918279753243627,0.7199170124481328,0.7520661157024794,0.783756747900174,0.8043240284619596,0.8448275862068966
3,0.4936089295569297,0.5150975924878081,0.7676348547717843,0.7851239669421488,0.828892223314534,0.8305966064586754,0.896551724137931
4,0.4778066837688699,0.5206933511682779,0.7800829875518672,0.7851239669421488,0.838671288870492,0.8568691844553914,0.9310344827586207
5,0.4106637637026577,0.5027156725895306,0.8236514522821576,0.8099173553719008,0.8839102464600472,0.8634373289545704,0.8275862068965517
6,0.39568985621464203,0.548553703860803,0.7883817427385892,0.8181818181818182,0.8384643245201016,0.8631636562671046,0.7931034482758621
7,0.4269373307769724,0.6777184068664046,0.8215767634854771,0.8181818181818182,0.883030647970887,0.8680897646414888,0.8103448275862069
8,0.3842763698261803,0.5787317150018432,0.8547717842323651,0.7933884297520661,0.9145754643762611,0.8607006020799125,0.7241379310344828
9,0.3562934358770422,0.6324941641535641,0.8381742738589212,0.8099173553719008,0.883496317759266,0.858784893267652,0.6896551724137931
10,0.28454340802683376,0.6135452272724514,0.9004149377593361,0.8347107438016529,0.9283558407064384,0.8527640941434045,0.7758620689655172
11,0.2562060046059957,0.754546864835684,0.9024896265560166,0.8347107438016529,0.9287870164364188,0.8396278051450465,0.7758620689655172
12,0.2197811928774806,0.6024048968164388,0.9045643153526971,0.8512396694214877,0.9293734154291923,0.8508483853311439,0.7931034482758621
13,0.315189316405053,0.7069160323743978,0.8921161825726142,0.8264462809917356,0.9290284748452079,0.8513957307060755,0.7758620689655172
14,0.21243947092057264,0.7317460702101061,0.9232365145228216,0.8429752066115702,0.9632465807764613,0.8437328954570336,0.7931034482758621
