,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,38.0,0.3531222582087481,0.3420692824555519,0.8477443609022557,0.8872180451127819,0.9256317485442931,0.938715513342379,0.9090909090909091
mean,24.5,0.39398937100045056,0.371710835379504,0.8267152255639099,0.8665413533834587,0.9041550657659186,0.9281245288707977,0.8759469696969697
median,24.5,0.3678589825119291,0.35110526055769814,0.8383458646616542,0.8721804511278195,0.9189680027135507,0.9330619629127092,0.8787878787878788
