epoch,is_pretrain_eval,train_loss,val_loss,train_acc,val_acc,val_acc_train_thr,train_auc,val_auc,val_precision,val_recall,val_f1,train_best_thr,val_best_thr,val_used_train_thr
0,True,0.6961650833549341,0.6903081688999144,0.5892116182572614,0.6776859504132231,0.6198347107438017,0.6274154589371982,0.697648988518316,0.7272727272727273,0.5423728813559322,0.6213592233009708,0.369384765625,0.392822265625,0.369384765625
1,False,0.6448560198807618,0.45996988940337474,0.6970954356846473,0.8264462809917356,0.7933884297520661,0.7351276742581091,0.8950246036085292,0.8064516129032258,0.847457627118644,0.8264462809917356,0.5419921875,0.42431640625,0.5419921875
2,False,0.5124896186639659,0.40699016789266884,0.7966804979253111,0.8512396694214877,0.7933884297520661,0.8674344375431331,0.9130672498633132,0.8153846153846154,0.8983050847457628,0.8548387096774194,0.55615234375,0.30517578125,0.55615234375
3,False,0.45193303497005793,0.42544500160315807,0.8257261410788381,0.8429752066115702,0.8181818181818182,0.8975845410628019,0.9155276107162384,0.7857142857142857,0.9322033898305084,0.8527131782945736,0.474853515625,0.18505859375,0.474853515625
4,False,0.4376736303088081,0.38284890322892134,0.8423236514522822,0.859504132231405,0.8264462809917356,0.8986542443064183,0.9278294149808638,0.8,0.9491525423728814,0.8682170542635659,0.5224609375,0.2325439453125,0.5224609375
5,False,0.4037107624948272,0.4042824612668723,0.8506224066390041,0.859504132231405,0.8347107438016529,0.9131728778467909,0.9256424275560416,0.8,0.9491525423728814,0.8682170542635659,0.488525390625,0.145751953125,0.488525390625
6,False,0.3827968291721898,0.3628447232537033,0.8651452282157677,0.8760330578512396,0.8429752066115702,0.9185386473429951,0.9358939311098962,0.8055555555555556,0.9830508474576272,0.8854961832061069,0.4072265625,0.1573486328125,0.4072265625
7,False,0.389210945466742,0.4162268404625664,0.8651452282157677,0.8677685950413223,0.8347107438016529,0.9167960662525879,0.9348004373974851,0.8524590163934426,0.8813559322033898,0.8666666666666667,0.486572265625,0.1697998046875,0.486572265625
8,False,0.34174225439174544,0.40395835543836445,0.8900414937759336,0.8760330578512396,0.8016528925619835,0.9372066942719116,0.9339803171131766,0.8666666666666667,0.8813559322033898,0.8739495798319328,0.607421875,0.19482421875,0.607421875
9,False,0.36229193538303694,0.4191209867227176,0.8796680497925311,0.8677685950413223,0.8347107438016529,0.9300034506556246,0.9322033898305084,0.8028169014084507,0.9661016949152542,0.8769230769230769,0.394775390625,0.1041259765625,0.394775390625
10,False,0.33365685093946973,0.41740869730710983,0.8838174273858921,0.8677685950413223,0.8264462809917356,0.943659420289855,0.9335702569710224,0.8307692307692308,0.9152542372881356,0.8709677419354839,0.471923828125,0.1383056640625,0.471923828125
11,False,0.3195260640743857,0.45664949687428713,0.8962655601659751,0.8429752066115702,0.8181818181818182,0.942943409247757,0.9260524876981958,0.7631578947368421,0.9830508474576272,0.8592592592592593,0.6064453125,0.07904052734375,0.6064453125
12,False,0.3611267988117899,0.45700393841902087,0.8672199170124482,0.8429752066115702,0.8264462809917356,0.9278381642512077,0.9304264625478403,0.7631578947368421,0.9830508474576272,0.8592592592592593,0.2919921875,0.07989501953125,0.2919921875
