,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc
best_epoch,30.0,0.5203875343004862,0.5165578610492203,0.8047619047619048,0.8301886792452831,0.8818619000090736,0.8717948717948718
mean,20.5,0.5569580349751881,0.5636497385799885,0.7835714285714286,0.7919811320754717,0.8620270392886308,0.8316951566951568
median,20.5,0.5383365906420208,0.5400255493960291,0.8047619047619048,0.8113207547169812,0.8883041466291624,0.8596866096866096
