epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc
1,0.6928163269684778,0.6964914890436026,0.5924170616113744,0.7307692307692307,0.6598345918734269,0.7988165680473372
2,0.6821797764131808,0.6867627409788278,0.6492890995260664,0.6923076923076923,0.7330097087378642,0.7263313609467456
3,0.6609778966383911,0.6619028265659626,0.7203791469194313,0.7692307692307693,0.8076231571377203,0.8446745562130178
4,0.6445240449001439,0.6499235263237586,0.7630331753554502,0.8076923076923077,0.8664149586479684,0.8624260355029585
5,0.6396748098716917,0.6408227682113647,0.7345971563981043,0.7884615384615384,0.833153541891406,0.849112426035503
6,0.6280526109216338,0.6288351554137009,0.7630331753554502,0.8076923076923077,0.8652463142754405,0.8550295857988166
7,0.6125206125291038,0.6171532410841721,0.7772511848341233,0.8269230769230769,0.8804386911183029,0.871301775147929
8,0.5899474266298574,0.6045535986240094,0.8341232227488151,0.8269230769230769,0.9121718806184826,0.871301775147929
9,0.6011739957954081,0.5975345235604507,0.7582938388625592,0.8269230769230769,0.856076950737145,0.8786982248520709
10,0.5639060193328496,0.5844163023508512,0.8056872037914692,0.8269230769230769,0.9117224020136642,0.8786982248520709
11,0.5633774566424401,0.5809986820587745,0.8104265402843602,0.8269230769230769,0.9034519956850054,0.8831360946745562
12,0.5582053798352372,0.5668507860257075,0.8056872037914692,0.8269230769230769,0.891675656238763,0.8801775147928994
13,0.549808756435087,0.5630776423674363,0.8151658767772512,0.8269230769230769,0.899316792520676,0.8816568047337279
14,0.5472547558811603,0.5481380499326266,0.8009478672985783,0.8269230769230769,0.8855627472132327,0.886094674556213
15,0.5230209590134463,0.5437409281730652,0.8246445497630331,0.8269230769230769,0.9092053218266811,0.8846153846153846
16,0.5019138687029834,0.5379994098956769,0.8388625592417062,0.8269230769230769,0.9325782092772383,0.8816568047337279
17,0.5215959995278815,0.5236397133423731,0.8104265402843602,0.8269230769230769,0.8992268967997123,0.8920118343195267
18,0.5076548863926205,0.5250404798067533,0.8246445497630331,0.8269230769230769,0.9143293779216108,0.8934911242603549
19,0.5067392652633631,0.523134722159459,0.8246445497630331,0.8269230769230769,0.899586479683567,0.8949704142011834
20,0.49362424905831215,0.5104972536747272,0.8009478672985783,0.8269230769230769,0.9024631427544049,0.900887573964497
21,0.48638216014156976,0.49628830414551955,0.8483412322274881,0.8461538461538461,0.908665947500899,0.8994082840236686
22,0.4624146179282835,0.49051930812688976,0.8672985781990521,0.8461538461538461,0.9400395541172241,0.8994082840236686
23,0.48456501409905783,0.49619905994488644,0.8199052132701422,0.8269230769230769,0.8999460625674218,0.8920118343195266
24,0.4852917965554513,0.48979713825079113,0.8151658767772512,0.8461538461538461,0.8934735706580367,0.900887573964497
25,0.4646708914453949,0.47960490446824294,0.8246445497630331,0.8461538461538461,0.9179252067601582,0.9038461538461539
26,0.4353202465586188,0.4797888696193695,0.8767772511848341,0.8461538461538461,0.9477705861201007,0.9038461538461539
27,0.44062343211535593,0.48324461166675275,0.8720379146919431,0.8269230769230769,0.9412980942107155,0.893491124260355
28,0.4692833901016633,0.4686946983520801,0.8530805687203792,0.8461538461538461,0.9082164688960807,0.8964497041420119
29,0.47546205376561784,0.4789894544161283,0.8199052132701422,0.8269230769230769,0.8945523193096009,0.8890532544378698
30,0.4600844055555443,0.47296226024627686,0.8056872037914692,0.8461538461538461,0.9110931319669183,0.8934911242603549
31,0.4476350530346423,0.4696687849668356,0.8246445497630331,0.8461538461538461,0.9108234448040273,0.8949704142011834
32,0.4627401371137791,0.4575791886219612,0.8293838862559242,0.8461538461538461,0.9023732470334412,0.9068047337278107
33,0.4517211305304161,0.4587083963247446,0.8293838862559242,0.8461538461538461,0.9092952175476448,0.8994082840236686
34,0.43449979286058255,0.45207725121424747,0.8341232227488151,0.8461538461538461,0.9252067601582166,0.9097633136094675
35,0.425622273536655,0.4522498548030853,0.8578199052132701,0.8461538461538461,0.9287126932758001,0.9023668639053254
36,0.42822404297607203,0.4512390586046072,0.8293838862559242,0.8461538461538461,0.9243976986695434,0.9112426035502958
37,0.4232280587698046,0.4565312908245967,0.8293838862559242,0.8461538461538461,0.9270945702984538,0.9038461538461537
38,0.43112099368425344,0.4517072095320775,0.8436018957345972,0.8269230769230769,0.9254764473211075,0.908284023668639
39,0.43751711246526637,0.4436987844797281,0.8199052132701422,0.8461538461538461,0.9124415677813735,0.9068047337278106
40,0.46108824720879865,0.44948954765613264,0.8104265402843602,0.8461538461538461,0.8912261776339446,0.900887573964497
41,0.41545160065330033,0.4420900895045354,0.8767772511848341,0.8461538461538461,0.9274541531823085,0.9082840236686389
42,0.41851050961074104,0.4456249429629399,0.8388625592417062,0.8461538461538461,0.9249370729953255,0.9038461538461537
43,0.4255469277571728,0.445027225292646,0.8530805687203792,0.8461538461538461,0.9204422869471413,0.9038461538461537
44,0.45520062172582365,0.44504104669277483,0.8104265402843602,0.8461538461538461,0.8932937792161093,0.9097633136094674
45,0.46171875841809673,0.4422259468298692,0.8246445497630331,0.8461538461538461,0.8903272204243079,0.9082840236686389
46,0.4143756770692165,0.447159984937081,0.8436018957345972,0.8461538461538461,0.9231391585760518,0.9038461538461539
