epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
1,0.6870238700307402,0.6939390619894615,0.5620300751879699,0.556390977443609,0.5865580304143817,0.4871099050203528,0.12121212121212122
2,0.6678463220596313,0.6425341520094334,0.6372180451127819,0.7894736842105263,0.726638023630505,0.8681592039800995,0.6818181818181818
3,0.6561781042500546,0.6264978266300115,0.6672932330827067,0.8045112781954887,0.7420572106959127,0.8778833107191316,0.7121212121212122
4,0.6387545901133602,0.6129202793415328,0.7424812030075187,0.8045112781954887,0.7956922381140823,0.8833107191316146,0.7272727272727273
5,0.617358910858183,0.593710716505696,0.7537593984962406,0.8045112781954887,0.8331166261518458,0.8876074174581637,0.696969696969697
6,0.6080511046531505,0.5838658681937626,0.75,0.8195488721804511,0.8266436768613262,0.8934871099050203,0.7272727272727273
7,0.5977697170766673,0.5733946445292997,0.7575187969924813,0.8270676691729323,0.8269404714794505,0.8934871099050203,0.7878787878787878
8,0.5923694762072169,0.5650212948483632,0.7593984962406015,0.8120300751879699,0.8246367799197241,0.8930348258706468,0.7424242424242424
9,0.5907480169955949,0.5514922820983973,0.7424812030075187,0.8270676691729323,0.8133868505851095,0.8984622342831299,0.7575757575757576
10,0.5829555571527409,0.5355554810143951,0.731203007518797,0.8345864661654135,0.8113234213352932,0.8977838082315694,0.7575757575757576
11,0.5792780531976456,0.533212633509385,0.768796992481203,0.8195488721804511,0.8130476567358245,0.9102216191768431,0.7878787878787878
12,0.5614988615638331,0.5417302609386301,0.7556390977443609,0.8120300751879699,0.840479959296738,0.8846675712347355,0.7575757575757576
13,0.5532718193262143,0.5197729058283612,0.7706766917293233,0.8270676691729323,0.8431935100910171,0.9009497964721845,0.7424242424242424
14,0.5660753362160876,0.5159204848726889,0.7424812030075187,0.8270676691729323,0.8173865113912601,0.9016282225237449,0.7575757575757576
15,0.5488725806537428,0.5078354529420236,0.7593984962406015,0.8195488721804511,0.8356888461755893,0.9063772048846676,0.7424242424242424
16,0.5575283927128727,0.5157128529889243,0.7406015037593985,0.8195488721804511,0.8210045791169654,0.8819538670284939,0.7727272727272727
17,0.5598125831973284,0.49619493134935994,0.7274436090225563,0.8120300751879699,0.8103482390185992,0.9009497964721845,0.7727272727272727
18,0.5630783537276706,0.5067816235517201,0.7293233082706767,0.8120300751879699,0.8037198258804906,0.8984622342831299,0.7424242424242424
