epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_lap,val_ssim,val_score
47,10.016106,0.940198,5.708717,0.207174,0.125350,0.200932,9.078985,1.593601,0.169221,0.361253,0.194670,0.201490,1.108116
48,9.666883,0.697620,5.708122,0.202040,0.117732,0.189989,8.812217,1.431569,0.166632,0.345505,0.192396,0.224653,1.078419
49,9.813152,0.819707,5.674879,0.202935,0.122401,0.194667,8.971876,1.478130,0.160329,0.337328,0.194739,0.182365,1.113589
50,9.993255,1.001476,5.665133,0.207756,0.125944,0.200180,8.944185,1.398392,0.169117,0.353086,0.199805,0.212069,1.097597
51,10.054134,1.072431,5.631797,0.211368,0.124432,0.199934,9.006150,1.382950,0.154783,0.323292,0.188167,0.240348,1.044952
52,10.022476,0.970908,5.652371,0.206780,0.123287,0.197242,9.207809,1.381806,0.187673,0.377527,0.206518,0.169624,1.165835
53,9.963342,0.964740,5.650798,0.205231,0.120696,0.195104,9.057095,1.498036,0.159120,0.332070,0.192906,0.214528,1.078523
54,10.071955,1.106063,5.579590,0.203491,0.124158,0.198592,9.173793,1.362101,0.180323,0.390081,0.208892,0.202956,1.128496
55,9.804844,0.846365,5.599161,0.202223,0.122067,0.194977,9.110006,1.363754,0.163228,0.338377,0.194422,0.198756,1.100195
56,10.224342,1.193468,5.633763,0.208388,0.123879,0.200183,9.177618,1.358194,0.182999,0.340863,0.196375,0.196197,1.123706
57,9.984388,1.004430,5.590263,0.202334,0.124099,0.196740,9.200196,1.267683,0.171099,0.361967,0.197325,0.181929,1.130628
58,9.938741,0.937166,5.514038,0.199829,0.120305,0.193735,9.557048,1.342803,0.160609,0.326870,0.188959,0.217506,1.074613
59,10.471827,1.483568,5.558851,0.214748,0.126580,0.204507,9.229595,1.178329,0.170566,0.340347,0.197761,0.210755,1.097097
60,10.150330,1.131034,5.625719,0.206414,0.124568,0.197911,9.186494,1.241064,0.170826,0.354171,0.197429,0.173314,1.137446
61,9.965762,0.990925,5.535965,0.202933,0.121684,0.194259,9.375540,1.245158,0.186025,0.399100,0.205812,0.142570,1.195309
62,9.916382,1.007823,5.522818,0.201073,0.119657,0.191671,9.222366,1.246894,0.182236,0.373116,0.199308,0.192454,1.134163
63,9.922390,0.979816,5.570302,0.201820,0.121102,0.193529,9.163240,1.276697,0.195135,0.355433,0.195251,0.204504,1.130055
64,10.146641,1.219334,5.499838,0.206034,0.122968,0.196940,9.307554,1.185803,0.168737,0.349417,0.196501,0.159221,1.148174
65,9.983400,1.051553,5.520452,0.202881,0.120261,0.193386,9.289762,1.170959,0.161775,0.332686,0.193300,0.189991,1.105976
66,9.910965,0.979701,5.469954,0.200665,0.120161,0.192384,9.472321,1.224297,0.183871,0.373820,0.200074,0.177363,1.151298
67,9.961498,1.044583,5.480179,0.199693,0.121755,0.193835,9.386684,1.147309,0.165502,0.331479,0.190074,0.200344,1.097980
68,9.876230,0.897871,5.501671,0.196600,0.120671,0.192284,9.543979,1.282987,0.168051,0.340330,0.191614,0.179332,1.123850
69,10.107141,1.203832,5.450965,0.200527,0.119603,0.192574,9.442638,1.253975,0.165841,0.343833,0.194273,0.153354,1.149248
70,10.036701,1.068525,5.518375,0.198828,0.122855,0.195324,9.426194,1.296710,0.171076,0.361904,0.194916,0.185829,1.125849
71,9.746010,0.868747,5.362818,0.193801,0.119548,0.191292,9.689729,1.273009,0.179900,0.381667,0.199983,0.146289,1.179938
72,9.789109,0.897449,5.380149,0.194319,0.119573,0.191918,9.674207,1.291870,0.188275,0.366954,0.199412,0.174715,1.156745
73,9.830295,0.974579,5.372020,0.195574,0.120414,0.192705,9.570580,1.297937,0.178444,0.350962,0.196157,0.208126,1.109166
74,9.860477,0.934323,5.424558,0.195436,0.119809,0.191966,9.635134,1.208947,0.176046,0.359581,0.196958,0.197383,1.119515
75,9.736698,0.841281,5.474246,0.193123,0.122606,0.192907,9.371581,1.345500,0.167405,0.339758,0.187794,0.205440,1.095645
76,9.806090,0.903835,5.324393,0.194227,0.117700,0.189752,9.908230,1.196089,0.173110,0.362543,0.200734,0.185779,1.130096
77,9.767803,0.952063,5.288585,0.193002,0.119241,0.190854,9.738532,1.157706,0.170927,0.357815,0.200888,0.188523,1.124278
78,9.807912,0.917312,5.353527,0.193793,0.119364,0.191068,9.766468,1.153343,0.166981,0.340930,0.191648,0.193180,1.109064
79,9.739506,0.883280,5.342734,0.193644,0.119082,0.190681,9.690778,1.164889,0.169864,0.340871,0.189366,0.210044,1.094273
80,9.837438,0.988075,5.287218,0.192003,0.119287,0.190748,9.860658,1.105441,0.185664,0.356861,0.194404,0.155340,1.169738
81,9.799372,0.949456,5.327808,0.193161,0.119323,0.190931,9.720465,1.068702,0.173332,0.353040,0.195169,0.164484,1.147765
82,9.761539,0.965671,5.228321,0.191117,0.121286,0.192502,9.872660,1.128412,0.176649,0.357206,0.197947,0.146329,1.171043
83,9.765869,0.917862,5.279975,0.190452,0.120303,0.192093,9.880463,1.162724,0.187282,0.376109,0.197481,0.160451,1.171171
84,9.771414,0.979851,5.281868,0.191321,0.120279,0.191551,9.684389,1.074619,0.186667,0.397290,0.201410,0.126118,1.210501
85,9.701224,0.937583,5.229128,0.189383,0.116290,0.188999,9.792891,0.987416,0.167600,0.349330,0.196994,0.209557,1.096857
86,9.785471,1.017804,5.165013,0.188300,0.119052,0.190822,10.014029,1.012722,0.173671,0.370226,0.203336,0.172603,1.146281
87,9.808276,1.026300,5.237837,0.190705,0.118332,0.190583,9.808742,0.984107,0.187914,0.399286,0.208094,0.199950,1.140654
88,9.668545,0.960267,5.179267,0.188929,0.118699,0.190336,9.768124,0.985787,0.171501,0.347002,0.194714,0.179085,1.129967
89,9.892870,1.135789,5.210721,0.190702,0.120053,0.191729,9.809000,0.957860,0.165216,0.350334,0.195319,0.204209,1.099436
90,9.706342,1.026755,5.153511,0.190121,0.120526,0.191678,9.744154,0.938253,0.177490,0.361200,0.198205,0.159429,1.159672
91,9.902129,1.169147,5.140880,0.191712,0.118936,0.191278,9.959614,0.932794,0.185790,0.390212,0.202129,0.155001,1.179577
92,9.733868,1.068386,5.152090,0.189878,0.119613,0.192141,9.701530,0.938324,0.175946,0.359603,0.201373,0.187402,1.130946
93,9.707756,1.019342,5.112578,0.188771,0.117677,0.189725,9.928905,0.888981,0.190023,0.366229,0.197083,0.177129,1.155119
94,9.703254,0.986885,5.109380,0.188315,0.118895,0.190714,10.029069,0.921839,0.162522,0.332081,0.186135,0.201586,1.092500
95,9.568681,0.940863,5.020214,0.185155,0.118175,0.189250,10.054839,0.890084,0.190332,0.373944,0.199705,0.190167,1.144850
96,9.619528,0.954923,5.100131,0.186614,0.120611,0.191784,9.889078,0.878299,0.173307,0.360594,0.196969,0.184511,1.129854
97,9.624296,0.967242,5.019365,0.184877,0.118817,0.190491,10.149774,0.838095,0.168011,0.364334,0.198764,0.200800,1.109645
98,9.675673,0.997748,5.044690,0.185817,0.118343,0.189583,10.135166,0.825642,0.163996,0.345964,0.193592,0.228961,1.071985
99,9.622456,0.961217,4.969777,0.184572,0.118488,0.190094,10.332801,0.783862,0.169699,0.355430,0.196636,0.167596,1.142011
100,9.591702,0.968297,5.010565,0.185551,0.119735,0.190920,10.060665,0.743352,0.166765,0.349481,0.194272,0.182746,1.121911
101,9.630590,0.965686,5.020003,0.185762,0.119223,0.190641,10.168304,0.822362,0.165213,0.353481,0.194926,0.193758,1.110375
102,9.551209,0.922717,4.959034,0.183464,0.116995,0.188870,10.272364,0.764543,0.173365,0.350095,0.194283,0.167630,1.143753
103,9.568352,0.940314,4.967339,0.184083,0.119388,0.190582,10.229511,0.736354,0.170824,0.349707,0.194749,0.196907,1.112021
104,9.543247,0.925812,4.959532,0.183592,0.118951,0.190095,10.225453,0.770170,0.173715,0.365741,0.199144,0.185509,1.131054
105,9.532337,0.916266,4.973566,0.183931,0.118707,0.190222,10.171995,0.799953,0.174659,0.373123,0.201169,0.176064,1.143629
106,9.503639,0.920562,4.922581,0.182017,0.118865,0.190875,10.238141,0.771887,0.171159,0.363782,0.199643,0.169720,1.144070
107,9.532516,0.937181,4.975453,0.183035,0.119189,0.190953,10.097011,0.742503,0.166387,0.346395,0.193845,0.173445,1.130067
108,9.620670,0.991623,4.904653,0.183541,0.118455,0.190433,10.446067,0.729678,0.168599,0.352396,0.198239,0.175873,1.132589
109,9.493950,0.922900,4.890510,0.181778,0.118772,0.190425,10.308472,0.692510,0.166290,0.346210,0.193387,0.215274,1.087943
110,9.479272,0.883511,4.920890,0.181460,0.120267,0.191788,10.283104,0.720400,0.172541,0.355794,0.198227,0.177418,1.135662
111,9.447161,0.878093,4.913484,0.181785,0.119214,0.190431,10.224854,0.697941,0.170907,0.350523,0.195113,0.171388,1.137913
112,9.496010,0.896971,4.902729,0.181810,0.119942,0.191016,10.356951,0.713445,0.173769,0.360723,0.197786,0.181748,1.133390
113,9.504095,0.913779,4.897748,0.181666,0.119029,0.190389,10.349092,0.717269,0.169871,0.352323,0.197181,0.185242,1.124108
114,9.458761,0.871840,4.869992,0.181408,0.118730,0.190213,10.432716,0.680158,0.173159,0.347613,0.194450,0.183991,1.126748
