prediction,acc,auc,precision,recall,f1,best_thr
weighted_blend_prob,0.8590381426202321,0.9306636105172679,0.84,0.8719723183391004,0.8556876061120543,0.45549821853637695
average_blend_prob,0.857379767827529,0.9302889383554096,0.8512110726643599,0.8512110726643599,0.8512110726643599,0.5644939541816711
logreg_prob,0.8540630182421227,0.9276331739140018,0.8526315789473684,0.8408304498269896,0.8466898954703833,0.4854370951652527
tabular_branch_prob,0.8424543946932007,0.9121393780442113,0.8321917808219178,0.8408304498269896,0.8364888123924269,0.43310546875
hybrid_prob,0.857379767827529,0.9044310493024487,0.8664259927797834,0.8304498269896193,0.8480565371024735,0.8837890625
image_branch_prob,0.8175787728026535,0.8727106428933507,0.7859424920127795,0.8512110726643599,0.8172757475083057,0.43115234375
