epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,val_precision,val_recall,val_f1,best_thr
1,0.8228257044992949,0.4360257964581251,0.791578947368421,0.859375,0.8550432892720989,0.9247549019607842,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.1796875
2,0.7125523228394358,0.5021072917152196,0.848421052631579,0.8671875,0.8886325578081019,0.9287990196078432,0.8805970149253731,0.8676470588235294,0.8740740740740741,0.082275390625
3,0.7156712904729341,0.41843996034003794,0.8463157894736842,0.8671875,0.8965956461324687,0.9267156862745098,0.84,0.9264705882352942,0.8811188811188811,0.08868408203125
4,0.6808641322976664,0.4988028150983155,0.8547368421052631,0.859375,0.8981633234759682,0.9178921568627451,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.0616455078125
5,0.6832601890438481,0.46725858154240996,0.8610526315789474,0.8671875,0.9009245733423593,0.9308823529411765,0.8591549295774648,0.8970588235294118,0.8776978417266187,0.06744384765625
6,0.6195817338165484,0.47061629744712263,0.8778947368421053,0.890625,0.9211974917162504,0.9254901960784314,0.875,0.9264705882352942,0.9,0.045013427734375
7,0.6203049302728553,0.36944405967369676,0.8757894736842106,0.875,0.9203691167563331,0.9377450980392157,0.8611111111111112,0.9117647058823529,0.8857142857142857,0.1851806640625
8,0.5857797524176146,0.359659040463157,0.8736842105263158,0.890625,0.9265774753268964,0.9425245098039216,0.8857142857142857,0.9117647058823529,0.8985507246376812,0.1925048828125
9,0.5576605631489503,0.4493913548067212,0.888421052631579,0.8984375,0.9433142124202801,0.9372549019607843,0.8666666666666667,0.9558823529411765,0.9090909090909091,0.038604736328125
10,0.49988908767700196,0.4177842102944851,0.9031578947368422,0.890625,0.9539583852923362,0.9426470588235295,0.921875,0.8676470588235294,0.8939393939393939,0.10931396484375
11,0.5404475619604713,0.45321151230018586,0.9031578947368422,0.875,0.9430380874336409,0.9404411764705882,0.8513513513513513,0.9264705882352942,0.8873239436619719,0.92578125
12,0.4948273962892984,0.3594192652381025,0.911578947368421,0.890625,0.9525866676167741,0.94375,0.9090909090909091,0.8823529411764706,0.8955223880597015,0.84521484375
13,0.40334597135844985,0.3665773533866741,0.9431578947368421,0.8984375,0.9723518723055545,0.9441176470588235,0.8985507246376812,0.9117647058823529,0.9051094890510949,0.29443359375
14,0.46085194669271773,0.5396694816881791,0.9347368421052632,0.8984375,0.9588395624755051,0.9524509803921569,0.8873239436619719,0.9264705882352942,0.9064748201438849,0.022796630859375
15,0.4523308172037727,0.41743008396588266,0.9263157894736842,0.890625,0.9700003562903053,0.9366421568627451,0.9090909090909091,0.8823529411764706,0.8955223880597015,0.9677734375
16,0.5029013175713388,0.44532278351834975,0.911578947368421,0.8984375,0.9602647236968681,0.9564950980392157,0.8481012658227848,0.9852941176470589,0.9115646258503401,0.020965576171875
17,0.3927024419684159,0.4157651948335115,0.9473684210526315,0.890625,0.9763156019524708,0.9285539215686275,0.8970588235294118,0.8970588235294118,0.8970588235294118,0.87548828125
18,0.46095178384529917,0.5264476716984063,0.9284210526315789,0.890625,0.9602914454697687,0.9404411764705882,0.875,0.9264705882352942,0.9,0.9716796875
19,0.38449779635981507,0.5464998586976435,0.9494736842105264,0.84375,0.9775715252787971,0.9348039215686275,0.9137931034482759,0.7794117647058824,0.8412698412698413,0.60009765625
20,0.3743402337086828,0.487703151156893,0.9515789473684211,0.875,0.9811789646203728,0.9337009803921569,0.9333333333333333,0.8235294117647058,0.875,0.986328125
21,0.3096093937597777,0.6038839215179905,0.9705263157894737,0.90625,0.9844390209142407,0.9273284313725491,0.9375,0.8823529411764706,0.9090909090909091,0.9892578125
22,0.4065376334441336,0.39875146697158925,0.9494736842105264,0.8984375,0.9752912673246161,0.9449754901960785,0.9508196721311475,0.8529411764705882,0.8992248062015504,0.9775390625
23,0.31916315157162517,0.43611371325096115,0.9621052631578947,0.890625,0.9850090854027862,0.9471813725490197,0.8857142857142857,0.9117647058823529,0.8985507246376812,0.03143310546875
24,0.3248148538250672,0.576442555844551,0.968421052631579,0.8984375,0.9850268999180531,0.9212009803921569,0.9365079365079365,0.8676470588235294,0.9007633587786259,0.98974609375
