epoch,g_total,g_adv,g_recon,g_fm,d_loss,val_l1,val_edge,val_ssim,val_score
68,7.555173,1.366888,5.345289,0.210749,0.926838,0.186455,0.380272,0.179159,1.140391
69,7.603020,1.354652,5.398113,0.212564,0.965658,0.171553,0.342196,0.189380,1.101941
70,7.615045,1.408491,5.353002,0.213388,0.950035,0.186240,0.363975,0.212184,1.101447
71,7.595072,1.415439,5.333004,0.211657,1.092656,0.180616,0.348562,0.185548,1.117064
72,7.442593,1.148626,5.459092,0.208719,1.077949,0.176602,0.350185,0.207370,1.091796
73,7.256911,1.114007,5.328885,0.203505,1.056139,0.179321,0.351762,0.177208,1.125229
74,7.474653,1.353534,5.285720,0.208850,0.896998,0.175182,0.356104,0.205574,1.094245
75,7.525756,1.355281,5.324908,0.211392,0.932048,0.193094,0.348301,0.184775,1.130224
76,7.393311,1.228962,5.339239,0.206277,1.271080,0.186410,0.353233,0.208253,1.101788
77,7.357431,1.153157,5.391250,0.203256,0.926963,0.178371,0.363116,0.213422,1.092040
78,7.426442,1.233981,5.359704,0.208189,0.969565,0.189922,0.369722,0.169231,1.150093
79,7.540453,1.406806,5.295456,0.209548,0.871669,0.177114,0.359691,0.191023,1.111983
80,7.356528,1.231517,5.298076,0.206734,0.910079,0.187635,0.352185,0.202935,1.107965
81,7.409930,1.211488,5.373993,0.206112,1.083833,0.178687,0.353048,0.209020,1.093233
82,7.423317,1.285098,5.319159,0.204765,0.956475,0.182175,0.348616,0.188732,1.115459
83,7.424551,1.264027,5.350805,0.202430,0.972455,0.187861,0.352775,0.171255,1.140077
84,7.443108,1.318131,5.309409,0.203892,0.900581,0.186389,0.378759,0.154364,1.164590
85,7.379951,1.295519,5.272274,0.203040,0.949404,0.182920,0.348384,0.167395,1.137459
86,7.203077,1.141298,5.259938,0.200460,0.950339,0.185979,0.360763,0.182975,1.129271
87,7.329241,1.189760,5.335386,0.201024,1.035542,0.184218,0.346514,0.181003,1.124495
88,7.312586,1.169955,5.334921,0.201927,0.913864,0.176206,0.358565,0.208354,1.093349
89,7.313437,1.161494,5.348743,0.200800,0.954966,0.184637,0.359020,0.186148,1.124147
90,7.240542,1.218790,5.221448,0.200076,0.912313,0.189776,0.383795,0.172567,1.151537
91,7.313665,1.170245,5.342674,0.200187,0.965687,0.183015,0.371103,0.179405,1.133496
92,7.139428,1.121206,5.227851,0.197593,0.949000,0.184621,0.372535,0.200585,1.114423
93,7.091846,1.091611,5.218387,0.195462,0.985018,0.181571,0.339829,0.144992,1.155520
94,7.199142,1.139250,5.268064,0.197957,0.926400,0.189401,0.392410,0.183200,1.143544
95,7.185789,1.190830,5.217406,0.194388,0.953834,0.175323,0.353281,0.192608,1.106364
96,7.163907,1.140092,5.242420,0.195349,0.949519,0.182447,0.366966,0.183255,1.127630
97,7.013518,1.068965,5.178646,0.191477,0.923317,0.178675,0.352377,0.175604,1.126403
98,7.152501,1.196024,5.174107,0.195592,0.840929,0.177984,0.351326,0.196131,1.104817
99,7.138606,1.123054,5.242746,0.193202,0.920130,0.187590,0.370625,0.205415,1.111893
100,7.036340,1.070760,5.197151,0.192107,0.861054,0.176370,0.353289,0.184661,1.115360
101,6.891778,1.009186,5.124870,0.189430,0.898799,0.176795,0.361136,0.199727,1.103465
102,6.948319,1.053253,5.135608,0.189864,0.857894,0.183157,0.364234,0.190484,1.120155
103,6.933113,1.066481,5.104201,0.190608,0.777218,0.183622,0.361089,0.187221,1.122783
104,6.888385,1.037106,5.101287,0.187498,0.853595,0.185831,0.363981,0.202109,1.111116
105,6.939395,1.069683,5.106360,0.190838,0.783701,0.183001,0.368934,0.207487,1.104641
106,6.842975,0.898932,5.189562,0.188620,0.883160,0.173912,0.355189,0.205108,1.093120
107,6.898278,1.010769,5.135810,0.187925,0.783742,0.183858,0.373275,0.219261,1.095243
108,6.819183,1.025386,5.047523,0.186569,0.767386,0.177798,0.376701,0.215312,1.094331
109,6.729354,0.915261,5.069691,0.186101,0.845279,0.178677,0.360954,0.204894,1.100116
110,6.824802,0.957575,5.116278,0.187737,0.836468,0.174056,0.343318,0.211153,1.083065
111,6.763170,0.976430,5.037786,0.187239,0.785905,0.174672,0.360586,0.213284,1.087594
112,6.745827,0.885313,5.116040,0.186119,0.968253,0.172910,0.362125,0.226572,1.073081
113,6.776263,0.909860,5.114364,0.188010,0.971024,0.193816,0.381992,0.163997,1.163517
114,6.603977,0.852352,5.021535,0.182522,0.859853,0.176734,0.350961,0.195434,1.104136
115,6.656834,0.844104,5.073558,0.184793,0.905691,0.176597,0.358165,0.192700,1.109255
116,6.588924,0.831431,5.023546,0.183487,0.909581,0.174225,0.368758,0.213986,1.089304
117,6.628338,0.826212,5.071691,0.182609,0.920566,0.178857,0.365494,0.197275,1.109505
118,6.538144,0.793600,5.014482,0.182515,0.922771,0.176967,0.369619,0.201809,1.104525
119,6.534188,0.761930,5.040246,0.183003,0.922325,0.175973,0.358454,0.213775,1.087658
120,6.551529,0.813327,5.005373,0.183207,0.887063,0.175869,0.350541,0.198346,1.100212
121,6.546297,0.788324,5.024627,0.183336,0.914807,0.178787,0.367987,0.211266,1.096317
122,6.536706,0.791620,5.014130,0.182739,0.881040,0.178103,0.362363,0.208127,1.096802
123,6.545603,0.816125,4.999949,0.182382,0.838943,0.181440,0.355069,0.204148,1.101566
124,6.519990,0.811956,4.974769,0.183316,0.822763,0.179361,0.349423,0.191576,1.110083
125,6.516401,0.819233,4.967664,0.182376,0.825213,0.174196,0.357241,0.210324,1.088906
126,6.518553,0.784665,5.008410,0.181370,0.877870,0.177330,0.358981,0.203591,1.099382
127,6.510779,0.793122,4.991480,0.181544,0.844512,0.180297,0.356969,0.200962,1.104274
128,6.462549,0.810945,4.925322,0.181571,0.817060,0.172675,0.362677,0.213784,1.085828
129,6.479029,0.802809,4.952281,0.180985,0.840385,0.174383,0.351840,0.189900,1.107626
130,6.454554,0.811846,4.915227,0.181870,0.799822,0.178109,0.355994,0.205256,1.097451
131,6.454456,0.811686,4.922417,0.180088,0.822218,0.175745,0.355699,0.185950,1.114290
132,6.432308,0.784195,4.928585,0.179882,0.835090,0.177224,0.355459,0.209688,1.091947
133,6.492930,0.780224,4.985266,0.181860,0.836849,0.179385,0.358757,0.202796,1.102154
134,6.521069,0.801982,4.994816,0.181068,0.835745,0.174719,0.361819,0.205254,1.096101
135,6.493747,0.804441,4.964724,0.181145,0.816462,0.176390,0.361054,0.212009,1.090751
136,6.450500,0.799273,4.930712,0.180129,0.805487,0.180688,0.356941,0.205623,1.099995
137,6.435356,0.777335,4.936483,0.180385,0.822482,0.176156,0.360173,0.211581,1.090636
138,6.446329,0.791237,4.934830,0.180066,0.824146,0.179060,0.358795,0.195723,1.108915
139,6.459075,0.777734,4.960792,0.180137,0.834821,0.179484,0.357305,0.210573,1.093968
140,6.452066,0.785866,4.943708,0.180623,0.827354,0.173496,0.356465,0.207953,1.090306
