epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,best_thr
1,0.6289979929560447,0.6281607719369171,0.6286307053941909,0.7355371900826446,0.6660285265862956,0.7870826491516146,0.7413793103448276,0.7122105360031128
2,0.5364532903516935,0.9602028905483316,0.7302904564315352,0.7272727272727273,0.7993998033838671,0.773672687465791,0.7241379310344828,0.9159116744995117
3,0.5273968309040387,0.6862310914030253,0.7676348547717843,0.7355371900826446,0.8239423259343578,0.7821565407772304,0.7068965517241379,0.8343690037727356
4,0.5493452516519677,0.5695842162144086,0.7676348547717843,0.7520661157024794,0.8184060295614081,0.7980295566502463,0.7068965517241379,0.4816650450229645
5,0.45857257909176263,0.8016945310860626,0.8132780082987552,0.743801652892562,0.8754592021524292,0.8002189381499728,0.896551724137931,0.06409439444541931
6,0.4759992088705178,0.7184027354887201,0.7821576763485477,0.743801652892562,0.8396198754764492,0.8136288998357964,0.8275862068965517,0.7749875783920288
7,0.5061760204090617,0.7365919721643787,0.7987551867219918,0.7107438016528925,0.8591262655007675,0.7876299945265463,0.8275862068965517,0.7408567070960999
8,0.4818266511767237,0.5672342627009085,0.8195020746887967,0.743801652892562,0.8804263465618047,0.7977558839627804,0.6551724137931034,0.5861524939537048
9,0.4174325868054544,0.7059844584504434,0.8257261410788381,0.7272727272727273,0.8890843552198133,0.7662835249042146,0.8275862068965517,0.11725832521915436
10,0.4192328896698121,0.8069117011979592,0.8443983402489627,0.7272727272727273,0.8983805039581932,0.7703886152162014,0.8448275862068966,0.6955447196960449
11,0.4395276579495782,0.8002091973157953,0.8402489626556017,0.71900826446281,0.8940342525999897,0.7720306513409961,0.8620689655172413,0.44808924198150635
12,0.4178067371249199,0.8094478938882509,0.8423236514522822,0.71900826446281,0.88849795622704,0.7780514504652435,0.8620689655172413,0.5479068160057068
13,0.40323676549176457,0.7368429184945162,0.8485477178423236,0.7272727272727273,0.9079698521929598,0.7679255610290092,0.8103448275862069,0.6349982619285583
