,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,best_thr
best_epoch,6.0,0.49515147272234633,0.5177728041144442,0.7863070539419087,0.768595041322314,0.8376364671185388,0.8596059113300492,0.8620689655172413,0.18155284225940704
mean,7.0,0.501311863375726,0.5764099906014547,0.7788062559846793,0.7647806738715831,0.8350971737425922,0.8383436486884764,0.7546419098143237,0.6624817148997233
median,7.0,0.49515147272234633,0.5411674493600515,0.7863070539419087,0.768595041322314,0.844621513944223,0.8409961685823755,0.7068965517241379,0.7350438833236694
