epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,best_thr
1,0.6632089421122217,0.6419387469689052,0.598343685300207,0.7,0.6295335897788158,0.7560568086883876,0.7368421052631579,0.33521121740341187
2,0.5423050237738568,0.5975623692075411,0.7453416149068323,0.7,0.8017928286852589,0.7451963241436925,0.6140350877192983,0.5406864285469055
3,0.5265989915677973,0.8900098904967308,0.7598343685300207,0.7333333333333333,0.8265901909602966,0.79838485101643,0.8421052631578947,0.07789462804794312
4,0.5089523410019667,0.8117786208788554,0.7929606625258799,0.7166666666666667,0.8479873609012226,0.736842105263158,0.6140350877192983,0.21075913310050964
5,0.5135889673146649,0.7890734141071637,0.772256728778468,0.7,0.8313813710674544,0.746588693957115,0.7017543859649122,0.15948258340358734
6,0.48933315733698335,0.6869556530068318,0.7950310559006211,0.725,0.8595102349223795,0.7763854079643553,0.7017543859649122,0.787108838558197
7,0.47456758615886696,0.7190912087758382,0.8115942028985508,0.725,0.8759788432476987,0.7516012252854358,0.5964912280701754,0.42640864849090576
8,0.4531096978032071,0.8540247159699599,0.8385093167701864,0.7333333333333333,0.894851627970875,0.7761069340016709,0.6842105263157895,0.11406951397657394
9,0.4688194860042869,0.6455705961833398,0.8240165631469979,0.75,0.8781254293172137,0.7619047619047619,0.6491228070175439,0.5531486868858337
10,0.44741896646363394,0.828300628811121,0.8053830227743272,0.7166666666666667,0.8622922104684709,0.7504873294346978,0.7368421052631579,0.10275737196207047
