epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,best_thr
1,0.6644394517686851,0.5944821657228075,0.6224066390041494,0.71900826446281,0.6323795726186163,0.7733990147783252,0.896551724137931,0.3479612469673157
2,0.5302542858598638,0.5909546859993422,0.7302904564315352,0.7603305785123967,0.7909832531346476,0.7991242474001096,0.8793103448275862,0.5698082447052002
3,0.5481499090976241,0.6758121434322073,0.7178423236514523,0.7520661157024794,0.7860678498128697,0.7810618500273673,0.8275862068965517,0.6827006340026855
4,0.5340470551084187,0.5678142097370684,0.7697095435684648,0.7355371900826446,0.8216829651092601,0.7862616310892172,0.7758620689655172,0.5406279563903809
5,0.5124043357013667,0.5631811475950824,0.7863070539419087,0.7272727272727273,0.8557803418361187,0.792008757525999,0.7586206896551724,0.5811873078346252
6,0.4717594113711005,0.958380403843793,0.8049792531120332,0.7355371900826446,0.8623342129318224,0.7895457033388068,0.7068965517241379,0.9336409568786621
7,0.43763526328124447,0.5785016040664074,0.8215767634854771,0.7603305785123967,0.8689743191735224,0.7993979200875753,0.7586206896551724,0.5359441637992859
8,0.4345900821518849,0.6407655571117874,0.8215767634854771,0.7355371900826446,0.8829616598540901,0.7813355227148331,0.7068965517241379,0.5849097371101379
9,0.4543248626762901,0.6873964274471457,0.8236514522821576,0.743801652892562,0.892344043738466,0.7931034482758621,0.7931034482758621,0.7461452484130859
10,0.4392344202243441,0.6354876000526523,0.8381742738589212,0.743801652892562,0.8932581362860247,0.7917350848385332,0.7931034482758621,0.5991522669792175
11,0.4549128423711571,0.6272186564266189,0.8257261410788381,0.743801652892562,0.8870492057743055,0.8015873015873015,0.6896551724137931,0.7922767400741577
12,0.43081400002434045,0.7311117692180902,0.8360995850622407,0.7520661157024794,0.8998292544109278,0.8035030103995621,0.7758620689655172,0.8590604066848755
13,0.4066479737518734,0.7751043422901926,0.8402489626556017,0.743801652892562,0.884048222693641,0.7837985769020251,0.8275862068965517,0.8373383283615112
14,0.417313184017215,0.761112083211418,0.8506224066390041,0.7272727272727273,0.90243355582001,0.774767378215654,0.8103448275862069,0.7190951108932495
15,0.4099745426744346,0.6551266113096033,0.8609958506224067,0.7603305785123967,0.9037960711267485,0.8024083196496989,0.7758620689655172,0.6719627380371094
16,0.45368403576592686,0.645189331582755,0.8298755186721992,0.7520661157024794,0.8991566202721581,0.7947454844006568,0.7586206896551724,0.714076578617096
17,0.4297722718094889,0.6455465970206852,0.8298755186721992,0.7603305785123967,0.8827202014453011,0.8018609742747673,0.8103448275862069,0.6517944931983948
18,0.44676468363688693,0.8011237584854946,0.8278008298755186,0.7355371900826446,0.8631275762749866,0.7744937055281883,0.7413793103448276,0.8831923604011536
19,0.3764961589885203,0.8093149616452288,0.8547717842323651,0.7355371900826446,0.9052448215794829,0.7961138478379857,0.7586206896551724,0.9064026474952698
