epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,best_thr
1,0.6764991319204215,0.5936729292074839,0.587991718426501,0.7583333333333333,0.6204390847247991,0.8045050055617353,0.8275862068965517,0.37077146768569946
2,0.5780814562771878,0.5129957367976506,0.7246376811594203,0.8,0.7566996495567924,0.8548387096774194,0.9137931034482759,0.4640783965587616
3,0.5048378670807951,0.7848345985015234,0.7763975155279503,0.8166666666666667,0.8328523328523327,0.8743047830923247,0.8793103448275862,0.8887414336204529
4,0.5313054720560709,0.9760881084948778,0.7536231884057971,0.8083333333333333,0.8092833092833093,0.8754171301446051,0.9482758620689655,0.9120216965675354
5,0.4953220149436599,1.0249779522418976,0.782608695652174,0.8,0.8441730227444513,0.8690211345939933,0.9310344827586207,0.908400297164917
6,0.5486671991846823,1.0550317926953237,0.782608695652174,0.8166666666666667,0.8189720332577476,0.8718020022246941,0.8275862068965517,0.934898853302002
7,0.5139284908277895,1.142002053062121,0.8033126293995859,0.8166666666666667,0.8506149934721363,0.8823692992213571,0.9310344827586207,0.9377880692481995
8,0.47342482292504046,1.026386691009005,0.8033126293995859,0.7833333333333333,0.8649419363705078,0.8506674082313682,0.8275862068965517,0.9353399872779846
9,0.4760314891303795,1.253691507006685,0.8219461697722568,0.7916666666666666,0.8685150828007971,0.8545606229143493,0.9310344827586207,0.9580790996551514
10,0.5150842346081329,0.8356509774923324,0.7929606625258799,0.775,0.846921596921597,0.8548387096774194,0.7068965517241379,0.8994208574295044
11,0.45580851229574865,0.9624965198338031,0.8074534161490683,0.7833333333333333,0.8600116814402529,0.8553948832035595,0.896551724137931,0.9309003949165344
12,0.44454661123531697,1.5707059434304635,0.8385093167701864,0.7666666666666667,0.8911736411736412,0.8134037819799778,0.8793103448275862,0.9726431965827942
13,0.5184665582996965,0.9166196888933579,0.8033126293995859,0.7916666666666666,0.85295128152271,0.8453837597330367,0.8275862068965517,0.9413033127784729
14,0.377905166065841,1.1722532712544005,0.8695652173913043,0.8,0.9104308390022676,0.8417686318131257,0.8103448275862069,0.9689968824386597
