epoch,is_pretrain_eval,train_loss,val_loss,train_acc,val_acc,val_acc_train_thr,train_auc,val_auc,val_precision,val_recall,val_f1,train_best_thr,val_best_thr,val_used_train_thr
0,True,0.7245359008510908,0.7123387194261318,0.5291666666666667,0.5040650406504065,0.5040650406504065,0.32878202450570876,0.41300898995240615,0.0,0.0,0.0,0.5888671875,inf,0.5888671875
1,False,0.8300114251673222,0.46028603165130305,0.8,0.8292682926829268,0.8130081300813008,0.8439936647173489,0.8939714436805923,0.7941176470588235,0.8852459016393442,0.8372093023255814,0.513671875,0.1602783203125,0.513671875
2,False,0.7079595029354095,0.554072497336845,0.8395833333333333,0.8211382113821138,0.8048780487804879,0.8823447507658034,0.8832628239026971,0.7910447761194029,0.8688524590163934,0.828125,0.6376953125,0.070068359375,0.6376953125
3,False,0.6784860497961441,0.5230690428638846,0.85,0.8373983739837398,0.8373983739837398,0.8958768448900029,0.8881544156530936,0.7971014492753623,0.9016393442622951,0.8461538461538461,0.2069091796875,0.29248046875,0.2069091796875
4,False,0.6546778850257396,0.5609480394580499,0.8625,0.8455284552845529,0.8048780487804879,0.9029431216931216,0.916314119513485,0.7916666666666666,0.9344262295081968,0.8571428571428571,0.19580078125,0.0521240234375,0.19580078125
5,False,0.6331643727297585,0.5270733497733993,0.8729166666666667,0.8373983739837398,0.8048780487804879,0.90942634363687,0.9114225277630883,0.8059701492537313,0.8852459016393442,0.84375,0.73291015625,0.091064453125,0.73291015625
6,False,0.5820249432697893,0.5245517346917129,0.89375,0.8373983739837398,0.8130081300813008,0.9207915622389305,0.9053410893707032,0.8153846153846154,0.8688524590163934,0.8412698412698413,0.284423828125,0.90087890625,0.284423828125
7,False,0.6158642686903477,0.6006160880007395,0.8833333333333333,0.8292682926829268,0.8048780487804879,0.9141255917571708,0.8843204653622422,0.803030303030303,0.8688524590163934,0.8346456692913385,0.51806640625,0.093505859375,0.51806640625
8,False,0.6015174087757865,0.537100302615786,0.8854166666666666,0.8455284552845529,0.8373983739837398,0.9239766081871346,0.9089106292966683,0.828125,0.8688524590163934,0.848,0.447998046875,0.17529296875,0.447998046875
9,False,0.5281871721148491,0.5557227146819355,0.9041666666666667,0.8373983739837398,0.8292682926829268,0.9374129768866613,0.9079851930195663,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.81640625,0.81591796875,0.81640625
10,False,0.5283991575241089,0.5789429041428295,0.9041666666666667,0.8373983739837398,0.8211382113821138,0.9481429267613477,0.8956901110523532,0.8153846153846154,0.8688524590163934,0.8412698412698413,0.341552734375,0.728515625,0.341552734375
11,False,0.49990924963106714,0.6304680245315156,0.9020833333333333,0.8292682926829268,0.8048780487804879,0.9529030910609858,0.9009783183500792,0.8225806451612904,0.8360655737704918,0.8292682926829268,0.5859375,0.91259765625,0.5859375
12,False,0.5233919234325488,0.643189415032786,0.89375,0.8211382113821138,0.7886178861788617,0.9495265942634364,0.8968799576943416,0.8095238095238095,0.8360655737704918,0.8225806451612904,0.56201171875,0.93603515625,0.56201171875
