prediction,acc,auc,precision,recall,f1,best_thr,used_thr,fold_mean_auc,fold_std_auc
average_blend_prob,0.857379767827529,0.9285918938575805,0.8980392156862745,0.7923875432525952,0.8419117647058824,0.6647588610649109,0.6647588610649109,0.9329757481267945,0.014458097186211187
weighted_blend_prob,0.8540630182421227,0.9284486368545171,0.8910505836575876,0.7923875432525952,0.8388278388278388,0.64300537109375,0.64300537109375,0.932365326783237,0.014147393622695733
logreg_prob,0.8540630182421227,0.9256936944879113,0.8576512455516014,0.8339100346020761,0.8456140350877193,0.514645516872406,0.514645516872406,0.9293321146672484,0.009091369097617628
tabular_branch_prob,0.845771144278607,0.9071694620148546,0.8379310344827586,0.8408304498269896,0.8393782383419689,0.5126953125,0.5126953125,0.9146451286320438,0.014303569741285188
hybrid_prob,0.8507462686567164,0.9000617107090121,0.8566308243727598,0.8269896193771626,0.8415492957746479,0.447998046875,0.447998046875,0.9298260771642617,0.014346185839480403
image_branch_prob,0.8175787728026535,0.874336058889648,0.7993311036789298,0.8269896193771626,0.8129251700680272,0.434814453125,0.434814453125,0.8938050574953568,0.036369316042255316
