epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,g_localstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_localstats,val_ssim,val_score
32,9.711349,0.407485,5.802146,0.194024,0.118654,0.203372,8.419724,0.191497,0.072264,0.083916,1.766615,0.212174,0.341833,0.657938,0.219588,0.149141,0.108772,0.130021,1.494186
33,9.788616,0.422219,5.828288,0.187651,0.117034,0.201587,8.549061,0.198964,0.073217,0.085248,1.753999,0.208728,0.340832,0.634320,0.204995,0.142398,0.104365,0.113564,1.490288
34,9.754507,0.416803,5.865973,0.193209,0.116869,0.201806,8.294154,0.200660,0.072129,0.086113,1.810580,0.212368,0.337236,0.617137,0.225521,0.136535,0.110326,0.090007,1.523351
35,9.877024,0.442746,5.773751,0.193717,0.119194,0.204235,8.945267,0.190798,0.073692,0.083312,1.792414,0.205871,0.335595,0.601493,0.210544,0.139187,0.105640,0.134392,1.460953
36,9.845545,0.425834,5.833699,0.196441,0.119162,0.202825,8.701368,0.191383,0.068876,0.084393,1.815813,0.202375,0.334146,0.582452,0.200314,0.134565,0.102034,0.111236,1.467907
37,9.961972,0.461354,5.832865,0.190922,0.118233,0.201396,9.028975,0.189016,0.066076,0.083788,1.768266,0.203522,0.332094,0.565177,0.208144,0.135269,0.103165,0.124765,1.456204
38,9.835619,0.473375,5.822263,0.195734,0.118387,0.202290,8.543884,0.190103,0.073598,0.084342,1.771062,0.196015,0.330915,0.551780,0.190348,0.133343,0.099270,0.175204,1.384373
39,9.803007,0.437958,5.826396,0.198662,0.119448,0.201341,8.531401,0.189706,0.073478,0.084016,1.754179,0.198399,0.329381,0.540492,0.208589,0.139947,0.100787,0.136478,1.434994
40,9.940393,0.406825,5.830219,0.201759,0.115199,0.197316,9.053709,0.194375,0.077949,0.085078,1.777842,0.205480,0.330350,0.520381,0.218336,0.137072,0.105759,0.088601,1.491911
41,9.994436,0.461408,5.919613,0.201680,0.115945,0.197784,8.755807,0.199875,0.069072,0.086946,1.777976,0.194854,0.329126,0.504706,0.193798,0.132789,0.097539,0.158773,1.390293
42,9.824007,0.460347,5.765933,0.197190,0.116986,0.198021,8.800373,0.183121,0.068401,0.082148,1.761383,0.200967,0.329490,0.486004,0.211283,0.125776,0.102499,0.082893,1.476045
43,9.854925,0.424285,5.862326,0.198547,0.117029,0.198354,8.622513,0.194459,0.074687,0.085448,1.782214,0.186605,0.326866,0.473007,0.172286,0.128945,0.091503,0.155907,1.363478
44,9.878508,0.409981,5.838955,0.200432,0.116556,0.197949,8.844429,0.189558,0.073277,0.084678,1.729658,0.189488,0.327523,0.459213,0.178481,0.125120,0.094023,0.164605,1.357461
45,9.828859,0.475226,5.860784,0.201750,0.118710,0.199096,8.375135,0.194312,0.067492,0.085158,1.739629,0.194017,0.330216,0.443010,0.204038,0.121402,0.096717,0.160371,1.374724
46,9.687288,0.415613,5.766197,0.194863,0.116458,0.196972,8.448231,0.188234,0.080706,0.082972,1.785051,0.200671,0.331020,0.434536,0.204306,0.114473,0.101772,0.068550,1.471418
47,9.688132,0.479530,5.848183,0.195153,0.116722,0.196835,7.969700,0.194179,0.070656,0.085116,1.785723,0.195017,0.329064,0.420695,0.196033,0.118285,0.098131,0.091526,1.435696
48,9.826733,0.421037,5.860397,0.192161,0.114660,0.193107,8.619493,0.193446,0.071725,0.085461,1.743738,0.197222,0.331828,0.406737,0.211189,0.117795,0.099692,0.094642,1.439893
49,9.658432,0.420513,5.755617,0.197851,0.115639,0.194285,8.433610,0.182970,0.068054,0.082232,1.740359,0.188654,0.329103,0.405385,0.187642,0.123516,0.094690,0.148224,1.366264
50,9.862428,0.422613,5.838220,0.198812,0.116513,0.195745,8.769979,0.193452,0.069099,0.084676,1.760384,0.180772,0.327320,0.385401,0.166398,0.117048,0.085969,0.151589,1.333468
51,9.734516,0.418358,5.818669,0.194541,0.116351,0.195492,8.458773,0.189342,0.070051,0.084239,1.771998,0.188613,0.329878,0.376539,0.197643,0.112793,0.094949,0.113314,1.395305
52,9.840305,0.455532,5.898082,0.198371,0.115360,0.193312,8.386238,0.195845,0.070040,0.086231,1.755461,0.187432,0.330573,0.362405,0.193410,0.109429,0.092972,0.167817,1.332399
53,9.827921,0.429242,5.821962,0.196779,0.115802,0.193192,8.740788,0.187845,0.066540,0.084257,1.766454,0.187197,0.329548,0.358710,0.195277,0.124165,0.093095,0.154247,1.352371
54,10.013037,0.456496,5.935372,0.198886,0.116167,0.193880,8.827522,0.196447,0.069248,0.086727,1.755909,0.178145,0.332225,0.344615,0.171246,0.111758,0.087557,0.171820,1.303912
55,9.672218,0.460634,5.769726,0.199258,0.114385,0.190672,8.309479,0.184886,0.065858,0.082864,1.676682,0.173126,0.329371,0.338524,0.160157,0.115404,0.082568,0.194370,1.268575
56,9.814962,0.428268,5.828147,0.198288,0.115774,0.193121,8.640929,0.192454,0.071092,0.084275,1.750993,0.182141,0.331701,0.331014,0.179958,0.111310,0.088749,0.171347,1.309952
57,9.744341,0.412348,5.781152,0.197846,0.114333,0.190271,8.672829,0.183691,0.070005,0.082710,1.710310,0.182648,0.333656,0.316952,0.190097,0.106053,0.088963,0.178784,1.302836
58,9.774918,0.442406,5.839654,0.201954,0.115595,0.192047,8.405195,0.194667,0.069575,0.084614,1.724287,0.182341,0.329162,0.305869,0.199724,0.108072,0.091339,0.191478,1.293448
59,9.783473,0.435635,5.855374,0.194802,0.115027,0.190983,8.465967,0.193016,0.064924,0.084996,1.746491,0.180058,0.331613,0.306100,0.193826,0.107771,0.089066,0.145120,1.333921
60,9.770875,0.445625,5.871812,0.193983,0.116846,0.193277,8.300918,0.195600,0.069620,0.085353,1.757462,0.182934,0.332392,0.294245,0.202226,0.103199,0.090219,0.129399,1.352629
61,9.775577,0.390319,5.819819,0.196241,0.115940,0.192076,8.704807,0.188642,0.067754,0.084095,1.737778,0.181067,0.332219,0.296076,0.193452,0.115961,0.090083,0.149433,1.332786
