,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,23.0,0.45912985368208453,0.4250497640971851,0.7916666666666666,0.8345864661654135,0.8662256787005682,0.89280868385346,0.9090909090909091
mean,15.5,0.4891150973963015,0.46997659718781193,0.7710858585858585,0.7937343358395992,0.8391647654317201,0.8571611638775817,0.8712121212121214
median,15.5,0.4589324945753271,0.4439994878786847,0.7897727272727273,0.8120300751879699,0.8678212557048026,0.8812754409769336,0.9090909090909091
