epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
1,0.5743955409888065,0.60487150025547,0.7102272727272727,0.7744360902255639,0.775352961432507,0.8143374038896427,0.9090909090909091
2,0.45371585723125574,0.44032930274655047,0.8162878787878788,0.849624060150376,0.8708515675443,0.8959746720940751,0.8787878787878788
3,0.4607519507408142,0.37788760998195275,0.7803030303030303,0.8646616541353384,0.8655589990817264,0.9203980099502488,0.8636363636363636
4,0.4492314046982563,0.369941383600235,0.7992424242424242,0.8571428571428571,0.8727311858813401,0.9253731343283582,0.8636363636363636
5,0.42950826928471075,0.3662587821035457,0.8068181818181818,0.8571428571428571,0.88432455699835,0.9258254183627318,0.8484848484848485
6,0.41636445395874255,0.36501590862758176,0.8295454545454546,0.8646616541353384,0.8934802571166208,0.9328358208955224,0.8636363636363636
7,0.4003790327996919,0.3492941893357083,0.8276515151515151,0.8646616541353384,0.90250376641079,0.9348710990502035,0.8333333333333334
8,0.40528564516342047,0.3600933939442599,0.8068181818181818,0.8646616541353384,0.8979079377833898,0.9378109452736318,0.8939393939393939
9,0.3800603002309799,0.3391256371611043,0.8314393939393939,0.8646616541353384,0.9132505918645527,0.9364540931705112,0.9393939393939394
10,0.39710894678578235,0.3317095014385711,0.8276515151515151,0.8721804511278195,0.9008120982552802,0.940976933514247,0.9393939393939394
11,0.3736260542363832,0.33146222372700396,0.8560606060606061,0.8721804511278195,0.9132505918645527,0.9400723654454999,0.8181818181818182
12,0.3844898600469936,0.32815449387955486,0.8503787878787878,0.8872180451127819,0.9100235307621671,0.9448213478064225,0.8484848484848485
13,0.37278200911753107,0.3323757015448764,0.8314393939393939,0.8796992481203008,0.9146005509641872,0.9418815015829941,0.8787878787878788
14,0.3699944439259442,0.325870310453544,0.8390151515151515,0.8796992481203008,0.9179532801469323,0.9443690637720489,0.8787878787878788
15,0.35365761319796246,0.3321786688682728,0.8484848484848485,0.8721804511278195,0.9237258953168044,0.9439167797376753,0.9696969696969697
16,0.35956318631316675,0.32369554883107204,0.8503787878787878,0.8872180451127819,0.9218595308128275,0.9418815015829942,0.8787878787878788
17,0.348604700330532,0.32709354106196786,0.8503787878787878,0.8872180451127819,0.9265657507712175,0.9425599276345545,0.8636363636363636
18,0.3386726792563092,0.3335225321072385,0.8598484848484849,0.8721804511278195,0.9309716483011937,0.9432383536861149,0.9090909090909091
19,0.35140260150938324,0.32036055243553074,0.8428030303030303,0.8796992481203008,0.9244863406795225,0.9425599276345545,0.9242424242424242
