,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice
best_epoch,3.0,56.0,0.15089224129915238,0.12096264660358429,0.9705048561096191,0.9765207926431143,0.9296047990560383,0.9518355201065295,0.9381299873531269,0.8861012292366391,0.9381299923386996
mean,3.0,30.5,0.2693257167811195,0.27537494386235867,0.9357654616236687,0.9460916363750331,0.820262742283967,0.8328882550700644,0.8205803086651865,0.7444998319714559,0.8205803133337676
median,3.0,30.5,0.23158760666847228,0.1954051747918129,0.9587232440710067,0.9668409559460667,0.9077094891938546,0.9239348091529641,0.9142990927814023,0.8474079640188686,0.9142990977499741
