epoch,g_total,g_adv,g_recon,d_loss,val_l1,val_edge,val_ssim,val_score
1,17.178150,0.632846,16.545305,1.176561,0.405510,0.746733,0.047474,1.619393
2,12.331446,1.018009,11.313437,1.258272,0.252354,0.571652,0.075757,1.376675
3,9.158386,0.863719,8.294666,1.289107,0.208730,0.457799,0.116321,1.252639
4,8.227144,1.042231,7.184915,0.973925,0.189239,0.413806,0.128940,1.205131
5,7.795821,1.129301,6.666520,0.966283,0.184062,0.368652,0.177762,1.135329
6,7.714590,1.159917,6.554673,1.004249,0.204902,0.348591,0.175757,1.151152
7,7.435365,0.982579,6.452786,1.164734,0.243384,0.371734,0.141530,1.231961
8,7.117073,0.935004,6.182069,1.299674,0.174693,0.325198,0.188481,1.100031
9,6.935972,0.875194,6.060778,1.397402,0.163745,0.329550,0.185352,1.093736
10,6.750537,0.871262,5.879274,1.315241,0.204587,0.317420,0.123281,1.192403
11,6.609827,0.743109,5.866718,1.618242,0.179946,0.318873,0.115817,1.175735
12,6.780469,0.928768,5.851701,1.319233,0.160531,0.314735,0.122888,1.147800
13,6.787589,0.970742,5.816847,1.241257,0.167152,0.318518,0.155089,1.123545
14,6.799761,1.007414,5.792347,1.255103,0.188801,0.319688,0.166560,1.134131
15,6.921021,1.147464,5.773557,1.144333,0.149627,0.314270,0.199373,1.060249
16,6.867745,1.203060,5.664685,1.234198,0.194125,0.324170,0.177923,1.129661
17,7.183924,1.369258,5.814666,0.934314,0.161946,0.320792,0.194780,1.079444
18,7.331016,1.569670,5.761345,0.893586,0.175606,0.324658,0.176920,1.112316
19,6.509755,0.801813,5.707942,1.480514,0.151668,0.319820,0.190453,1.073152
20,6.376266,0.745256,5.631010,1.466485,0.178254,0.325809,0.192183,1.100104
21,6.666944,0.983032,5.683912,1.291871,0.170558,0.327808,0.181543,1.103748
22,6.693562,0.953279,5.740283,1.452538,0.153691,0.316903,0.209627,1.054980
23,6.679688,0.963649,5.716039,1.263049,0.162482,0.324881,0.212852,1.063338
24,6.644795,0.842383,5.802413,1.578928,0.147667,0.319384,0.261912,0.997539
25,6.890824,1.102368,5.788457,1.214813,0.171595,0.330317,0.132339,1.154866
26,6.892084,1.020902,5.871182,1.391106,0.205544,0.335793,0.168248,1.154823
27,6.822483,1.035103,5.787379,1.360463,0.186587,0.336198,0.158881,1.145375
28,6.787105,1.008493,5.778612,1.361429,0.302109,0.388981,0.047724,1.390528
29,6.701701,0.890733,5.810968,1.521325,0.163758,0.335180,0.171413,1.109658
30,6.827884,1.012246,5.815638,1.357709,0.161641,0.329267,0.194408,1.082477
31,6.859406,0.987861,5.871545,1.480034,0.168563,0.317303,0.254352,1.025267
32,6.958448,1.053992,5.904456,1.373143,0.155161,0.315549,0.206410,1.059194
33,6.712326,0.938019,5.774307,1.281107,0.162719,0.332506,0.225088,1.054009
34,6.685565,0.943438,5.742127,1.445813,0.167180,0.331484,0.179119,1.104080
35,6.805522,0.953822,5.851699,1.488176,0.156849,0.321597,0.262859,1.006548
36,6.795424,0.971229,5.824195,1.456995,0.184479,0.368067,0.127388,1.185915
37,6.800353,1.027592,5.772761,1.252617,0.165879,0.315612,0.143878,1.132465
38,6.805143,1.049716,5.755427,1.207031,0.161698,0.330651,0.248776,1.028650
39,6.876163,1.002996,5.873166,1.240553,0.216122,0.354061,0.185067,1.154977
40,6.939316,1.080271,5.859044,1.390534,0.156880,0.317473,0.241179,1.026816
41,6.921978,1.038908,5.883071,1.208791,0.163769,0.328344,0.202609,1.076080
42,6.758476,1.003101,5.755375,1.288894,0.190559,0.347258,0.185820,1.126279
43,6.838013,0.973730,5.864283,1.523382,0.153826,0.314854,0.237959,1.026066
44,6.677413,0.897988,5.779426,1.408001,0.163517,0.338095,0.209199,1.072651
45,6.800916,1.020957,5.779958,1.258061,0.162254,0.337477,0.213693,1.066677
46,6.713784,0.936199,5.777585,1.418660,0.178347,0.349365,0.214572,1.086052
47,6.740028,0.948705,5.791323,1.508232,0.162368,0.318945,0.237442,1.036556
48,6.601166,0.877815,5.723351,1.240776,0.185726,0.340111,0.200292,1.104473
49,6.862727,1.008193,5.854533,1.476020,0.170370,0.322586,0.158170,1.125105
50,6.654148,0.826366,5.827782,1.467286,0.190526,0.365567,0.202919,1.115556
51,6.594923,0.797454,5.797469,1.501038,0.170226,0.346955,0.199295,1.092365
52,6.610363,0.841500,5.768862,1.435299,0.172681,0.331831,0.198745,1.090077
53,6.511566,0.778975,5.732590,1.547330,0.183816,0.349299,0.205103,1.100967
54,6.358660,0.684670,5.673989,1.454570,0.186992,0.348979,0.209675,1.099459
55,6.466372,0.731960,5.734412,1.452948,0.167523,0.337173,0.217332,1.068202
56,6.470038,0.762661,5.707377,1.528385,0.183647,0.344842,0.228887,1.075455
57,6.406786,0.691261,5.715525,1.465169,0.183028,0.368363,0.195246,1.116709
58,6.513885,0.761994,5.751891,1.518647,0.174359,0.367012,0.183924,1.118889
59,6.447515,0.793328,5.654188,1.440766,0.177459,0.354148,0.237357,1.064054
60,6.590325,0.816949,5.773376,1.412785,0.173905,0.346755,0.210173,1.085096
61,6.553123,0.850916,5.702208,1.449944,0.187282,0.372565,0.173325,1.144354
62,6.688987,1.038950,5.650037,1.256566,0.179562,0.381354,0.188126,1.124910
63,6.322708,0.682034,5.640674,1.630030,0.184103,0.343501,0.198074,1.106255
64,6.247931,0.588770,5.659162,1.555685,0.162306,0.324334,0.216260,1.059563
65,6.331806,0.690443,5.641363,1.481414,0.171439,0.355689,0.224402,1.071528
66,6.216740,0.582325,5.634415,1.597448,0.196206,0.341439,0.176790,1.138920
67,6.325715,0.738811,5.586904,1.496868,0.168322,0.332200,0.190382,1.094210
68,6.272813,0.662255,5.610558,1.515993,0.174210,0.338553,0.163057,1.129647
69,6.248025,0.674794,5.573230,1.572065,0.164827,0.339961,0.178484,1.105329
70,6.230627,0.715241,5.515386,1.490350,0.174166,0.342948,0.212732,1.081466
71,6.186251,0.614528,5.571723,1.584891,0.176564,0.341016,0.145276,1.150643
72,6.090141,0.613322,5.476820,1.567693,0.175856,0.344919,0.161195,1.135383
73,6.024269,0.571158,5.453111,1.563998,0.181456,0.353482,0.176561,1.128614
74,6.074610,0.653426,5.421183,1.552627,0.174462,0.328641,0.171511,1.117976
75,6.037968,0.587939,5.450029,1.600497,0.168633,0.337140,0.202145,1.084487
76,6.086911,0.592734,5.494178,1.666869,0.184866,0.337961,0.163886,1.139266
77,5.955748,0.594739,5.361009,1.538328,0.185064,0.349202,0.146306,1.160979
78,6.042338,0.621246,5.421092,1.638059,0.168072,0.331212,0.144076,1.139920
79,5.969063,0.611226,5.357837,1.619733,0.186241,0.369556,0.196539,1.119046
80,6.004528,0.591587,5.412940,1.652001,0.188768,0.332613,0.101922,1.203260
81,5.867849,0.601556,5.266294,1.561785,0.186930,0.369140,0.127715,1.188413
82,5.917087,0.586233,5.330853,1.610978,0.186673,0.379167,0.142410,1.176972
83,5.918261,0.565490,5.352770,1.638131,0.180465,0.341816,0.119895,1.180205
84,5.805974,0.587365,5.218610,1.586440,0.174231,0.346684,0.164773,1.130797
