epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,d_loss,val_l1,val_edge,val_lap,val_stats,val_ssim,val_score
41,10.609095,1.149827,5.867359,0.250402,0.124079,0.203801,9.123207,0.129656,1.313863,0.187767,0.362540,0.202573,0.148566,0.170179,1.240008
42,10.256035,0.946836,5.843883,0.240274,0.118417,0.198461,8.781336,0.130191,1.419936,0.167892,0.327170,0.203563,0.118738,0.201447,1.164191
43,10.482020,1.093365,5.769209,0.244787,0.120200,0.199955,9.277521,0.126388,1.344604,0.192936,0.339340,0.195875,0.173875,0.161095,1.262796
44,10.477536,1.056549,5.911455,0.244514,0.119886,0.197515,8.896223,0.134226,1.346505,0.166861,0.323936,0.207020,0.129676,0.211317,1.160243
45,10.387470,0.940696,5.755098,0.238791,0.125307,0.207494,9.494070,0.129728,1.479092,0.172340,0.356282,0.209089,0.115586,0.155420,1.220254
46,10.407151,1.032310,5.841115,0.249405,0.119896,0.201286,8.934912,0.133857,1.241221,0.159702,0.341924,0.208332,0.108653,0.192526,1.163253
47,10.312468,0.945616,5.805139,0.223154,0.122500,0.206900,9.155428,0.126709,1.709977,0.173640,0.327771,0.185964,0.139673,0.198067,1.180719
48,10.296242,0.955015,5.867990,0.237845,0.111172,0.190064,8.852209,0.134470,1.430281,0.159603,0.326238,0.188687,0.109863,0.195246,1.152128
49,10.493221,1.000184,5.872672,0.246841,0.117531,0.194692,9.258011,0.137527,1.462908,0.188092,0.368186,0.202836,0.130133,0.172944,1.227716
50,10.266939,0.924713,5.936236,0.240498,0.113615,0.191197,8.614578,0.132428,1.368257,0.164501,0.329658,0.195261,0.114789,0.183868,1.174016
51,10.488474,0.957249,5.902464,0.237080,0.122920,0.199551,9.319862,0.133752,1.574098,0.166648,0.347534,0.206385,0.117214,0.176755,1.191644
52,10.323172,0.915431,5.820618,0.235423,0.118997,0.195784,9.237082,0.126762,1.449684,0.169093,0.357486,0.201846,0.110868,0.173960,1.193705
53,10.283048,1.013723,5.744045,0.245305,0.116315,0.193805,9.004159,0.123898,1.244570,0.176943,0.335968,0.189480,0.150073,0.147276,1.243749
54,10.582882,0.950753,5.924243,0.255518,0.122299,0.198989,9.482479,0.137098,1.618557,0.174586,0.336127,0.199195,0.127387,0.187819,1.190183
55,10.160644,0.952638,5.736460,0.238829,0.111557,0.190070,8.872519,0.125958,1.264193,0.177816,0.327606,0.194616,0.149447,0.192423,1.198967
56,10.486719,0.967185,5.869313,0.242549,0.119766,0.196221,9.390518,0.131791,1.562482,0.166385,0.342558,0.190705,0.117349,0.188353,1.174164
57,10.191607,0.923920,5.830608,0.238499,0.118245,0.193865,8.718454,0.130396,1.331085,0.172387,0.364686,0.206828,0.109908,0.166714,1.206603
58,10.419039,0.973678,5.802132,0.239116,0.125064,0.201426,9.365681,0.128585,1.460693,0.161597,0.347732,0.211251,0.100102,0.190065,1.164515
59,10.180679,0.984060,5.632106,0.238795,0.121335,0.199780,9.142605,0.121395,1.376193,0.195556,0.371014,0.200865,0.151099,0.165186,1.255492
60,10.101885,0.783836,5.751072,0.237200,0.120712,0.196047,9.186289,0.119128,1.449375,0.176637,0.349543,0.196866,0.129668,0.164625,1.218782
61,10.221666,0.739311,5.838038,0.247069,0.122056,0.198821,9.323483,0.134477,1.654021,0.173768,0.362524,0.218361,0.112820,0.161181,1.218292
62,10.202322,0.852723,5.770576,0.242040,0.119051,0.194678,9.199926,0.122005,1.531850,0.171141,0.337034,0.185980,0.134031,0.194682,1.180078
63,10.218861,0.813457,5.770209,0.242607,0.117650,0.192718,9.369244,0.129109,1.522863,0.176298,0.327170,0.183143,0.147473,0.179532,1.205626
64,10.180628,0.887893,5.750814,0.237372,0.114320,0.190408,9.112930,0.125264,1.431367,0.168292,0.350720,0.210593,0.114513,0.184411,1.185911
65,10.325920,0.934890,5.749646,0.243343,0.123804,0.200242,9.348030,0.127861,1.529408,0.193041,0.361654,0.195305,0.148609,0.170518,1.242611
66,10.011774,0.805786,5.715439,0.228765,0.115521,0.193148,8.987688,0.120448,1.400671,0.161254,0.342143,0.198543,0.107136,0.212634,1.140893
67,10.094284,0.944699,5.590149,0.223451,0.127103,0.209021,9.183357,0.112678,1.278181,0.161804,0.344469,0.205313,0.105678,0.193154,1.162544
