epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,val_precision,val_recall,val_f1,best_thr
1,0.8022851185365156,0.4295852437239735,0.7975206611570248,0.8487394957983193,0.8536837606837607,0.8991477272727272,0.8627450980392157,0.8,0.8301886792452831,0.75146484375
2,0.7093473108839398,0.45769684821242046,0.8285123966942148,0.865546218487395,0.8811452991452992,0.8808238636363637,0.8979591836734694,0.8,0.8461538461538461,0.86083984375
3,0.665495379158288,0.49520683632928786,0.8533057851239669,0.8487394957983193,0.8976837606837607,0.8779829545454545,0.8490566037735849,0.8181818181818182,0.8333333333333334,0.87744140625
4,0.6356752213737196,0.47776613866581635,0.8553719008264463,0.865546218487395,0.9042222222222221,0.8830965909090909,0.9148936170212766,0.7818181818181819,0.8431372549019608,0.92138671875
5,0.5896361156805487,0.5362696548094269,0.878099173553719,0.8487394957983193,0.9215042735042734,0.9007102272727273,0.8245614035087719,0.8545454545454545,0.8392857142857143,0.88720703125
6,0.5351062874532928,0.49509374712820814,0.8966942148760331,0.8571428571428571,0.9289487179487179,0.9032670454545454,0.8958333333333334,0.7818181818181819,0.8349514563106796,0.9443359375
7,0.521128504791043,0.49285023690772656,0.8966942148760331,0.865546218487395,0.9412222222222222,0.9048295454545454,0.8679245283018868,0.8363636363636363,0.8518518518518519,0.9296875
8,0.5122891115255592,0.5143650149096962,0.890495867768595,0.8571428571428571,0.9436410256410257,0.9112215909090909,0.8392857142857143,0.8545454545454545,0.8468468468468469,0.9306640625
9,0.5096852445035926,0.4959937171900974,0.9070247933884298,0.865546218487395,0.9433675213675214,0.8910511363636364,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.16015625
10,0.4484479860825972,0.47386886242057097,0.9256198347107438,0.8571428571428571,0.9624273504273504,0.8938920454545454,0.8392857142857143,0.8545454545454545,0.8468468468468469,0.1966552734375
11,0.4432006337918526,0.582501471856562,0.9256198347107438,0.8571428571428571,0.9558205128205128,0.8865056818181817,0.8518518518518519,0.8363636363636363,0.8440366972477065,0.95703125
12,0.4991841384571446,0.6375413696367701,0.9152892561983471,0.8487394957983193,0.9518376068376069,0.8867897727272727,0.8245614035087719,0.8545454545454545,0.8392857142857143,0.9658203125
13,0.4038129268475801,0.5011084119186682,0.9400826446280992,0.8571428571428571,0.9614700854700855,0.8897727272727273,0.8166666666666667,0.8909090909090909,0.8521739130434782,0.264892578125
14,0.3529505429804818,0.6149739913892847,0.9504132231404959,0.8571428571428571,0.9777777777777777,0.8928977272727272,0.8392857142857143,0.8545454545454545,0.8468468468468469,0.96337890625
15,0.432027177869781,0.6937495227746603,0.9297520661157025,0.8403361344537815,0.964923076923077,0.8889204545454545,0.8103448275862069,0.8545454545454545,0.831858407079646,0.974609375
16,0.40288707860245193,0.5625262809526018,0.9421487603305785,0.8487394957983193,0.9698717948717949,0.8904829545454547,0.8627450980392157,0.8,0.8301886792452831,0.96142578125
