,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,model_score
best_epoch,8.0,0.4331689645414767,0.5488278699417909,0.8281573498964804,0.8583333333333333,0.8737201951487666,0.9238042269187987,0.8103448275862069,0.9886318131256953
mean,6.0,0.48933886781996777,0.4848727710940169,0.7876905702992659,0.8439393939393939,0.8387883160610433,0.9061836383860856,0.8808777429467084,0.9766538578218221
median,6.0,0.490203252860478,0.48409637610117595,0.8012422360248447,0.85,0.8568164639593211,0.9135150166852057,0.8620689655172413,0.9811012235817574
