epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,model_score
1,0.6658231392657041,0.558252602815628,0.6418219461697723,0.7833333333333333,0.6757624673718918,0.8270676691729324,0.8771929824561403,0.8972431077694236
2,0.5853640967767925,0.5191486716270447,0.7308488612836439,0.7916666666666666,0.7806704217612309,0.8421052631578948,0.8596491228070176,0.9108771929824562
3,0.5495990227221456,0.49143290395538014,0.7163561076604554,0.8083333333333333,0.7698688006594313,0.8643831801726538,0.8771929824561403,0.934558618769145
4,0.4879108696065334,0.4540754864613215,0.7784679089026915,0.8166666666666667,0.8428355543343866,0.8883319409635199,0.7719298245614035,0.9500863269284321
5,0.4621481234921185,0.5193465412904819,0.7681159420289855,0.8166666666666667,0.8313813710674544,0.8858256752993595,0.8070175438596491,0.9503870788081314
6,0.4344582385528162,0.536859038968881,0.8053830227743272,0.8166666666666667,0.8601971424646243,0.8758006126427179,0.7719298245614035,0.9375549986076301
7,0.4185767762100721,0.6378057982772589,0.8364389233954451,0.8,0.8952465998076661,0.8702311333890281,0.7894736842105263,0.9333890281258702
8,0.4001163005304386,0.633238086849451,0.8343685300207039,0.8166666666666667,0.8916575078994368,0.8719019771651351,0.7894736842105263,0.9350598719019771
9,0.38482484471353684,0.593473253895839,0.84472049689441,0.825,0.8897685121582634,0.8869395711500975,0.8596491228070176,0.9557115009746588
10,0.4281334021354314,0.6563998006284237,0.8467908902691511,0.8083333333333333,0.8764940239043826,0.8760790866054023,0.9298245614035088,0.950465051517683
11,0.36199347955593164,0.6435463442156713,0.8819875776397516,0.825,0.9271878005220496,0.8749651907546644,0.7543859649122807,0.9353160679476469
12,0.3245900463366854,0.683934886008501,0.8840579710144928,0.8083333333333333,0.9165407336172552,0.8755221386800334,0.8070175438596491,0.9400835421888053
13,0.33107602189046254,0.6399133028462529,0.8716356107660456,0.8083333333333333,0.9156649265008929,0.8727373990531885,0.7543859649122807,0.933088276246171
14,0.26509088612553,0.693847429814438,0.8902691511387164,0.8083333333333333,0.9426260475340019,0.8705096073517126,0.7543859649122807,0.930860484544695
15,0.3582982614667272,0.6514573538675904,0.8944099378881988,0.8083333333333333,0.928802033246325,0.8705096073517126,0.8421052631578947,0.9378780284043442
