epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,model_score
1,0.6969811713547133,0.6439355813767299,0.6016597510373444,0.7355371900826446,0.627257204946448,0.7911877394636015,0.7068965517241379,0.8477394636015326
2,0.5663488038595287,0.5833479914783446,0.7448132780082988,0.768595041322314,0.7973819009675582,0.8007662835249042,0.7241379310344828,0.8586973180076628
3,0.5631496226144529,0.5737125404979572,0.7510373443983402,0.7768595041322314,0.8070229902899226,0.8133552271483306,0.6724137931034483,0.8671483305966065
4,0.47355541385926647,0.6503345158474505,0.7883817427385892,0.7851239669421488,0.834049085045101,0.8191023535851123,0.7586206896551724,0.8797920087575261
5,0.46985341124700314,0.5935428952259466,0.8132780082987552,0.8016528925619835,0.8718028319621945,0.8278598795840175,0.7241379310344828,0.8857909140667761
6,0.4354056340653867,0.632671890826511,0.8029045643153527,0.7933884297520661,0.8721995136337766,0.8322386425834701,0.7586206896551724,0.8929282977558839
7,0.37701232307803084,0.6665651210206599,0.8298755186721992,0.8016528925619835,0.8892568255118056,0.8273125342090859,0.7758620689655172,0.8893814997263273
8,0.3570062457525878,0.8198213524931719,0.8713692946058091,0.7933884297520661,0.9036236008347563,0.8431855500821017,0.7413793103448276,0.902495894909688
9,0.3857355910310854,0.7524194034232088,0.8568464730290456,0.7851239669421488,0.9130749728359291,0.829501915708812,0.7413793103448276,0.8888122605363983
10,0.37381618850211384,1.0186118844373167,0.8589211618257261,0.7933884297520661,0.9197495731360273,0.8322386425834701,0.7931034482758621,0.8956869184455392
11,0.39691330072048786,0.8371968347394516,0.8817427385892116,0.7933884297520661,0.9060899260102447,0.8347016967706623,0.7241379310344828,0.8926327312534209
12,0.3000468723939662,0.7678223655613001,0.8921161825726142,0.7768595041322314,0.9250271640709887,0.8336070060207991,0.7413793103448276,0.8929173508483853
13,0.3349004634250249,0.787487588545754,0.8713692946058091,0.768595041322314,0.9145927114054603,0.8251231527093597,0.7413793103448276,0.8844334975369459
14,0.32189804185722876,0.801596017323496,0.8941908713692946,0.7933884297520661,0.9409806660802678,0.8333333333333334,0.7586206896551724,0.8940229885057471
