epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,d_loss,val_l1,val_edge,val_lap,val_stats,val_ssim,val_score
41,8.959425,0.901907,5.242515,0.234761,0.115830,0.199961,9.572117,0.136800,1.576829,0.198890,0.335291,0.189570,0.166793,0.138833,1.284062
42,8.914699,0.949121,5.268044,0.240292,0.113837,0.196743,8.787117,0.130707,1.354910,0.195156,0.336051,0.197031,0.146284,0.128475,1.280771
43,8.946077,0.957553,5.213900,0.231395,0.117825,0.200130,9.409595,0.132252,1.554447,0.206647,0.350713,0.197993,0.143587,0.164873,1.257467
44,8.984209,0.943879,5.290430,0.230337,0.121869,0.203334,9.200003,0.133737,1.369249,0.180551,0.333887,0.202690,0.150271,0.143880,1.254418
45,9.024847,1.035806,5.259692,0.228373,0.120813,0.203709,9.185830,0.124164,1.342008,0.201504,0.332941,0.191815,0.178443,0.133599,1.299103
46,9.106915,1.126107,5.124096,0.229060,0.119995,0.201021,10.065121,0.124081,1.205893,0.201074,0.349454,0.192889,0.153357,0.139624,1.281222
47,8.907490,0.977913,5.245644,0.223526,0.114760,0.195867,9.031773,0.132191,1.371678,0.215244,0.354310,0.190769,0.166541,0.114426,1.328836
48,9.132008,1.001807,5.262737,0.239878,0.116590,0.199757,9.707718,0.149112,1.598625,0.181090,0.320513,0.187060,0.182129,0.133683,1.276905
49,9.009142,1.031031,5.228221,0.239966,0.115928,0.195513,9.143092,0.132727,1.181276,0.194602,0.358377,0.193510,0.141909,0.133631,1.275845
50,9.178865,1.093432,5.311279,0.237165,0.114961,0.195204,9.369532,0.132349,1.427392,0.204501,0.340755,0.189030,0.177438,0.130349,1.305475
51,8.956463,1.006823,5.204611,0.222466,0.113726,0.192870,9.543369,0.128447,1.265205,0.229025,0.354635,0.189835,0.191057,0.136395,1.335143
52,8.946402,0.925355,5.277370,0.218755,0.115765,0.194953,9.497144,0.136772,1.518327,0.197894,0.365586,0.195895,0.159079,0.130236,1.294991
53,8.828041,0.897679,5.212584,0.217592,0.114857,0.193861,9.378127,0.135408,1.333636,0.194281,0.351268,0.190670,0.149461,0.129128,1.282284
54,9.054792,0.969058,5.237823,0.233311,0.121208,0.201786,9.840702,0.131394,1.418546,0.188381,0.346538,0.193725,0.142731,0.167605,1.233840
55,9.006535,1.019489,5.250646,0.228214,0.119807,0.198780,9.321662,0.123458,1.220015,0.222896,0.344019,0.187304,0.185214,0.133840,1.325180
56,9.130934,1.025815,5.328990,0.224601,0.115586,0.196282,9.527189,0.141930,1.416856,0.241158,0.379286,0.201879,0.194442,0.126409,1.367835
57,9.093772,1.019570,5.315133,0.218150,0.114757,0.195145,9.659077,0.131404,1.411431,0.201092,0.344241,0.190731,0.155394,0.161652,1.258744
58,8.946161,0.990690,5.211807,0.221627,0.118873,0.199655,9.490777,0.123163,1.163140,0.199952,0.375817,0.208785,0.145392,0.121745,1.303241
59,9.094446,0.972463,5.351090,0.229544,0.119825,0.199971,9.401065,0.134697,1.396888,0.187136,0.329032,0.191244,0.171420,0.144248,1.268920
