,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice,val_hd95,val_asd
best_epoch,5.0,8.0,0.734440054809838,0.7279558948108128,0.996388786717465,0.9980847494942062,0.9653027954005368,0.9808337917759683,0.9726682481825377,0.9473241530263027,0.9726682531809973,4.1245012283325195,0.978627622127533
mean,5.0,9.5,0.7222690587503869,0.7230868088820623,0.9930287634420115,0.9950750593154412,0.9174477376491323,0.9528513489510773,0.9218775072373155,0.8751922102329496,0.9218775121159606,23.856564627753365,inf
median,5.0,9.5,0.7096547886990665,0.6989108153751918,0.9969978834453381,0.9972721508570341,0.932655962067341,0.9932512076931013,0.9623546778829282,0.9282377915895834,0.9623546828755021,8.773748874664307,2.110854983329773
