,epoch,is_pretrain_eval,train_loss,val_loss,train_acc,val_acc,val_acc_train_thr,train_auc,val_auc,val_precision,val_recall,val_f1,train_best_thr,val_best_thr,val_used_train_thr
best_epoch,14.0,False,0.3383777904013793,0.40204200717976424,0.8895833333333333,0.8455284552845529,0.8455284552845529,0.9377610693400167,0.9353516657852988,0.828125,0.8688524590163934,0.848,0.424072265625,0.42431640625,0.424072265625
mean,10.5,0.0,0.37918605277935663,0.4049865857978176,0.8678125000000001,0.8504065040650406,0.8300813008130081,0.9203603627123365,0.9281464833421472,0.8401391884520211,0.8655737704918034,0.8515961797683159,0.48895263671875,0.556298828125,0.48895263671875
median,10.5,0.0,0.3461131636674205,0.4038132051747989,0.8822916666666667,0.8455284552845529,0.8292682926829268,0.9356986215538847,0.9321787414066631,0.8399897593445981,0.860655737704918,0.8501968503937007,0.495849609375,0.56005859375,0.495849609375
