model_weight,logreg_weight,auc
0.68,0.31999999999999995,0.932955722566284
0.72,0.28,0.932933683027351
0.73,0.27,0.932933683027351
0.7000000000000001,0.29999999999999993,0.9329226632578846
0.71,0.29000000000000004,0.9329006237189519
0.74,0.26,0.9328896039494853
0.67,0.32999999999999996,0.932878584180019
0.6900000000000001,0.30999999999999994,0.9328675644105524
0.61,0.39,0.9328565446410861
0.66,0.33999999999999997,0.9328455248716196
0.6,0.4,0.9328345051021533
0.75,0.25,0.9327904260242876
0.64,0.36,0.9327794062548211
0.62,0.38,0.9327794062548211
0.65,0.35,0.9327683864853547
0.59,0.41000000000000003,0.9327573667158883
0.58,0.42000000000000004,0.9327463469464219
0.76,0.24,0.9327132876380225
0.63,0.37,0.9326802283296234
0.77,0.22999999999999998,0.9326692085601569
0.79,0.20999999999999996,0.9326471690212241
0.78,0.21999999999999997,0.932647169021224
0.8,0.19999999999999996,0.9325810504044255
0.86,0.14,0.9325479910960264
0.84,0.16000000000000003,0.9325479910960263
0.8300000000000001,0.16999999999999993,0.9325259515570934
0.5700000000000001,0.42999999999999994,0.9325259515570934
0.8200000000000001,0.17999999999999994,0.9325039120181605
0.56,0.43999999999999995,0.9325039120181605
0.81,0.18999999999999995,0.9324598329402948
0.87,0.13,0.9324267736318956
0.55,0.44999999999999996,0.9323937143234964
0.54,0.45999999999999996,0.9323937143234963
0.46,0.54,0.9323606550150971
0.85,0.15000000000000002,0.9323496352456306
0.53,0.47,0.9323165759372314
0.52,0.48,0.9322945363982986
0.45,0.55,0.9322724968593656
0.49,0.51,0.9322504573204329
0.47000000000000003,0.53,0.9322504573204329
0.88,0.12,0.9322504573204329
0.51,0.49,0.9322394375509664
0.5,0.5,0.9322063782425672
0.48,0.52,0.9322063782425671
0.44,0.56,0.9321402596257686
0.43,0.5700000000000001,0.9321072003173694
0.42,0.5800000000000001,0.9321072003173694
0.89,0.10999999999999999,0.9320741410089701
0.41000000000000003,0.59,0.9319639433143059
0.9,0.09999999999999998,0.9319088444669738
0.4,0.6,0.9318978246975073
0.39,0.61,0.9318757851585745
0.37,0.63,0.9318096665417759
0.38,0.62,0.9317986467723095
0.36,0.64,0.9316774293081789
0.91,0.08999999999999997,0.9315892711524474
0.35000000000000003,0.6499999999999999,0.9315451920745819
0.34,0.6599999999999999,0.9314129548409847
0.33,0.6699999999999999,0.931368875763119
0.32,0.6799999999999999,0.9313247966852533
0.92,0.07999999999999996,0.9312917373768541
0.3,0.7,0.9312145989905891
0.31,0.69,0.9311925594516562
0.29,0.71,0.9311044012959249
0.28,0.72,0.9309611442928614
0.27,0.73,0.9308840059065964
0.93,0.06999999999999995,0.9307848279813987
0.26,0.74,0.9306856500562009
0.25,0.75,0.9304872942058051
0.24,0.76,0.9304652546668725
0.23,0.77,0.9303330174332753
0.9400000000000001,0.05999999999999994,0.9302779185859431
0.22,0.78,0.9302338395080775
0.21,0.79,0.9301236418134132
0.2,0.8,0.9298261080378198
0.9500000000000001,0.04999999999999993,0.9296608114958236
0.19,0.81,0.929649791726357
0.18,0.8200000000000001,0.9295726533400921
0.17,0.83,0.9293963370286293
0.16,0.84,0.9293191986423645
0.96,0.040000000000000036,0.9291979811782338
0.15,0.85,0.9290657439446367
0.14,0.86,0.9287461706301104
0.13,0.87,0.9285918938575805
0.97,0.030000000000000027,0.9285367950102483
0.12,0.88,0.9284596566239833
0.11,0.89,0.9283053798514536
0.1,0.9,0.9281511030789236
0.09,0.91,0.9278976483811959
0.98,0.020000000000000018,0.9277984704559981
0.08,0.92,0.9277323518391994
0.07,0.9299999999999999,0.9274237982941397
0.06,0.94,0.9272805412910761
0.05,0.95,0.9270821854406806
0.99,0.010000000000000009,0.9270711656712141
0.04,0.96,0.9267405725872214
0.03,0.97,0.9265091574284267
0.02,0.98,0.9262116236528332
0.01,0.99,0.9259140898772397
1.0,0.0,0.9257928724131091
0.0,1.0,0.9256936944879113
