epoch,is_pretrain_eval,train_loss,val_loss,train_acc,val_acc,val_acc_train_thr,train_auc,val_auc,val_precision,val_recall,val_f1,train_best_thr,val_best_thr,val_used_train_thr
0,True,0.6886292691052702,0.6865143874460016,0.5663900414937759,0.6033057851239669,0.5867768595041323,0.5592132505175984,0.5833788955713505,0.6571428571428571,0.3898305084745763,0.48936170212765956,0.48046875,0.479736328125,0.48046875
1,False,0.6418897670334306,0.45896086884924203,0.6639004149377593,0.859504132231405,0.8181818181818182,0.7351449275362318,0.9160743575724439,0.8088235294117647,0.9322033898305084,0.8661417322834646,0.450927734375,0.3740234375,0.450927734375
2,False,0.5136490931649426,0.3916480702555869,0.7925311203319502,0.8677685950413223,0.8429752066115702,0.8665545203588682,0.9197648988518317,0.8208955223880597,0.9322033898305084,0.873015873015873,0.44287109375,0.342041015625,0.44287109375
3,False,0.44341953488306385,0.37403762217395564,0.8402489626556017,0.8677685950413223,0.8347107438016529,0.9045462387853692,0.9218151995626026,0.8524590163934426,0.8813559322033898,0.8666666666666667,0.4423828125,0.42138671875,0.4423828125
4,False,0.4190041252191631,0.40289499838490134,0.8485477178423236,0.859504132231405,0.8016528925619835,0.9105848861283644,0.9227720065609623,0.85,0.864406779661017,0.8571428571428571,0.50048828125,0.26318359375,0.50048828125
5,False,0.4055150877761643,0.37713468579713966,0.8568464730290456,0.8677685950413223,0.8429752066115702,0.9143978605935128,0.9241388737014763,0.864406779661017,0.864406779661017,0.864406779661017,0.488037109375,0.39892578125,0.488037109375
6,False,0.36850048397586554,0.37327029796178673,0.8630705394190872,0.859504132231405,0.8347107438016529,0.9340924775707384,0.9252323674138875,0.8888888888888888,0.8135593220338984,0.8495575221238938,0.26220703125,0.485595703125,0.26220703125
7,False,0.38621043565362323,0.3904122869707336,0.8630705394190872,0.8512396694214877,0.8264462809917356,0.9201690821256039,0.9199015855658831,0.8253968253968254,0.8813559322033898,0.8524590163934426,0.50048828125,0.262451171875,0.50048828125
8,False,0.3734143309573415,0.42777556704341874,0.8526970954356846,0.8429752066115702,0.8264462809917356,0.9300207039337474,0.9060962274466923,0.8703703703703703,0.7966101694915254,0.831858407079646,0.45703125,0.343505859375,0.45703125
9,False,0.36908619031619233,0.45106476391396244,0.8755186721991701,0.8347107438016529,0.8181818181818182,0.92851966873706,0.9033624931656643,0.7910447761194029,0.8983050847457628,0.8412698412698413,0.286865234375,0.13037109375,0.286865234375
10,False,0.35405455065960706,0.4627244316718795,0.8713692946058091,0.8347107438016529,0.8264462809917356,0.9313060731538992,0.9018589393110991,0.8679245283018868,0.7796610169491526,0.8214285714285714,0.362060546875,0.236328125,0.362060546875
11,False,0.329594576909087,0.5027444297370832,0.8900414937759336,0.8429752066115702,0.7851239669421488,0.9413129744651484,0.9017222525970475,0.8846153846153846,0.7796610169491526,0.8288288288288288,0.412109375,0.185546875,0.412109375
12,False,0.34677383501500014,0.44793959229815106,0.8838174273858921,0.8512396694214877,0.7933884297520661,0.9320479641131814,0.9107435757244396,0.847457627118644,0.847457627118644,0.847457627118644,0.60205078125,0.1934814453125,0.60205078125
